Combination,Overall_Rank
"(2, 256)",1
"(2, 128)",2
"(4, 128)",3
"(5, 256)",4
"(4, 256)",5
"(3, 256)",6
"(3, 512)",7
"(4, 512)",8
"(3, 64)",9
"(5, 128)",10
"(3, 128)",11
"(4, 64)",12
"(2, 512)",13
"(5, 64)",14
"(5, 512)",15
"(2, 64)",16
"(4, 32)",17
"(1, 512)",18
"(3, 32)",19
"(5, 32)",20
"(1, 128)",21
"(5, 16)",22
"(3, 16)",23
"(1, 256)",24
"(2, 32)",25
"(1, 64)",26
"(4, 16)",27
"(2, 16)",28
"(1, 32)",29
"(1, 16)",30
