Time,Voltage,Current
0.0,0.0,0.0
2e-07,0.0,0.0
4e-07,0.0,0.0
6e-07,0.0,0.0
8e-07,0.0,0.0
1e-06,0.0,0.0
2e-06,0.0,0.0
3e-06,0.0,0.0
4e-06,0.0,0.0
4.166666666666596e-06,0.0,0.0
4.166666666666738e-06,0.0,0.0
4.167968750000071e-06,0.00042250594206202864,8.928531504452557e-05
4.1692708333334045e-06,0.0008004570219861864,0.0001785698862161376
4.170572916666738e-06,0.001138497054475786,0.00026785379058625165
4.171875000000071e-06,0.0014408808139814904,0.0003571370987692493
4.173177083333405e-06,0.0017114740347013127,0.00044641987492247733
4.174479166666738e-06,0.0019537036177850815,0.0005357021759198208
4.1757812500000714e-06,0.0021704926828176865,0.0006249840502737293
4.177083333333405e-06,0.002364492901603476,0.0007142655419913406
4.178385416666738e-06,0.0025381337994711058,0.0008035466913927521
4.179687500000072e-06,0.002693622755273531,0.000892827535111019
4.18186425957162e-06,0.0029185481124153214,0.0010420823152231368
4.184041019143169e-06,0.003105728820785694,0.001191336456525288
4.186217778714717e-06,0.00326112858989118,0.0013405900579825368
4.188394538286266e-06,0.00339024016991335,0.0014898432107432742
4.190571297857814e-06,0.0034980853517088233,0.0016390959981392185
4.192941018198913e-06,0.0035959721706533623,0.0018015790922690708
4.195310738540012e-06,0.0036765947538474654,0.0019640618851224497
4.197680458881111e-06,0.0037428274006059267,0.002126544424383586
4.200050179222211e-06,0.003797358297245041,0.002289026754647729
4.20241989956331e-06,0.003842689517082599,0.0024515089174211462
4.2052609895108244e-06,0.0038876435444300805,0.0026463108168322223
4.20810207945834e-06,0.003923976121706474,0.0028411125518079837
4.210943169405854e-06,0.003953232136433558,0.0030359141479524084
4.2137842593533686e-06,0.003976965147355686,0.003230715631013394
4.216625349300884e-06,0.003996737384439779,0.003425517026882758
4.22006033326412e-06,0.00401693621747037,0.00366103910709286
4.223495317227355e-06,0.004033582715974288,0.0038965610968641953
4.226930301190591e-06,0.004047289100171759,0.004132083006292518
4.230365285153826e-06,0.004058810960617689,0.004367604847853149
4.233800269117062e-06,0.0040690472582016225,0.004603126636400979
4.238108569162653e-06,0.004080918112262855,0.004898527818430652
4.242416869208246e-06,0.004091579393116079,0.005193928930322426
4.246725169253838e-06,0.004101135516001907,0.005489329973680139
4.25103346929943e-06,0.004109919154667692,0.005784730953896114
4.255341769345022e-06,0.004118491241367508,0.006080131880151162
4.260969235944267e-06,0.004129819676948331,0.00646598210168069
4.266596702543512e-06,0.00414082976946261,0.006851832231344162
4.2722241691427575e-06,0.004151397652479495,0.00723768226679787
4.277851635742003e-06,0.004161675164077026,0.007623532210274071
4.283479102341248e-06,0.004172089846842086,0.00800938206858099
4.29114605288508e-06,0.004186846677012981,0.008535069957967862
4.298813003428913e-06,0.0042015155144272814,0.009060757682316905
4.306479953972745e-06,0.004215768685466449,0.009586445235461727
4.314146904516577e-06,0.0042297623556395575,0.010112132619266405
4.321813855060409e-06,0.004244136529583213,0.010637819843625473
4.3317211692214944e-06,0.004264516131079123,0.011317118189280542
4.34162848338258e-06,0.0042845994120194325,0.01199641625044277
4.3515357975436655e-06,0.0043025363037321115,0.012675713994835584
4.3614431117047505e-06,0.004319111892911932,0.013355011433919036
4.371350425865836e-06,0.004337746421620381,0.01403430862288981
4.378950448869714e-06,0.0043549344213755364,0.014555405737177033
4.386550471873593e-06,0.0043714517443705775,0.015076502671408929
4.394150494877471e-06,0.004385793753893752,0.015597599399903753
4.4017505178813495e-06,0.004398685259434765,0.016118695933982668
4.409350540885228e-06,0.004413080516684834,0.01663979232196973
4.416950563889106e-06,0.004430449231886124,0.01716088858754944
4.4245505868929845e-06,0.004447194232042442,0.017681984670309594
4.432150609896863e-06,0.004461906908427057,0.018203080546162344
4.4397506329007415e-06,0.004475265812031212,0.01872417622566118
4.4473506559046196e-06,0.004490036653564053,0.0192452717540009
4.455616091720626e-06,0.004509702377258604,0.019811991168278333
4.463881527536632e-06,0.004528609406244444,0.02037871036170915
4.472146963352639e-06,0.004544391937813058,0.02094542929411584
4.480412399168644e-06,0.004558102199082051,0.02151214798205113
4.488677834984651e-06,0.004574210446995103,0.022078866498797978
4.497171423869453e-06,0.004596822909581355,0.02266122818042951
4.505665012754256e-06,0.004618074355573348,0.02324358961472307
4.514158601639058e-06,0.004633491568351938,0.02382595072644624
4.5226521905238606e-06,0.0046450317689737675,0.024408311547094788
4.531145779408664e-06,0.004661082616171264,0.02499067221489271
4.539070165715646e-06,0.004684847248373911,0.025534005598675014
4.546994552022628e-06,0.004706551688318766,0.02607733874838271
4.55491893832961e-06,0.004721031136959819,0.026620671577490852
4.5628433246365925e-06,0.004730662248829204,0.027164004124642597
4.570767710943575e-06,0.004745363132037522,0.027707336553649216
4.578004679121586e-06,0.004767212411894983,0.028203536391532294
4.585241647299597e-06,0.004787124164319118,0.028699736027260354
4.5924786154776085e-06,0.004801820166823456,0.02919593540581206
4.59971558365562e-06,0.004812996708678546,0.02969213455472976
4.606952551833632e-06,0.004827324590912202,0.0301883335841195
4.614153945321462e-06,0.004847519662966232,0.030682093380410003
4.621355338809291e-06,0.004866393002554592,0.031175852983408574
4.628556732297121e-06,0.004881730528724371,0.03166961235576484
4.635758125784951e-06,0.004894687565905331,0.032163371516051635
4.64295951927278e-06,0.004909788843909774,0.032657130538764956
4.650825368408038e-06,0.004931430574944495,0.033196447432583556
4.658691217543296e-06,0.00495194361340312,0.03373576409957414
4.666557066678554e-06,0.004968506297864689,0.034275080492119574
