Time,Voltage,Current
0.0,0.0,0.0
2e-07,0.0,0.0
4e-07,0.0,0.0
6e-07,0.0,0.0
8e-07,0.0,0.0
1e-06,0.0,0.0
2e-06,0.0,0.0
3e-06,0.0,0.0
4e-06,0.0,0.0
4.9999999999999996e-06,0.0,0.0
5.999999999999999e-06,0.0,0.0
6.249999999999898e-06,0.0,0.0
6.2500000000001045e-06,0.0,0.0
6.251953125000105e-06,0.0008001157229125717,0.00017360964113908483
6.253906250000104e-06,0.0014771540816867024,0.00034721661775524796
6.255859375000104e-06,0.002049127681308118,0.0005208213173592707
6.257812500000105e-06,0.0025324613311151845,0.000694424093300726
6.259765625000104e-06,0.0029419920447989077,0.0008680252647679785
6.261718750000104e-06,0.0032898479625059333,0.0010416250926683452
6.263671875000104e-06,0.0035845855198698216,0.0012152237610644036
6.265625000000104e-06,0.0038339793327918084,0.0013888214371979859
6.267578125000104e-06,0.004045118691460303,0.0015624182735662349
6.269531250000104e-06,0.0042244075603508815,0.0017360144079216024
6.271672866455441e-06,0.004390622803301862,0.001926363220101917
6.273814482910778e-06,0.004529703485755872,0.002116711428271611
6.275956099366115e-06,0.004645891478726505,0.002307059123657084
6.278097715821452e-06,0.0047430855401934145,0.0024974063901027034
6.28023933227679e-06,0.004824841315102317,0.0026877533040708074
6.2827583447953155e-06,0.0049051158399231794,0.002911642819889394
6.285277357313842e-06,0.004970907005833917,0.0031355319958700995
6.287796369832368e-06,0.005024704832499977,0.003359420885525344
6.290315382350895e-06,0.005068877939898839,0.0035833095397556514
6.292834394869421e-06,0.0051056735483200125,0.003807198006849647
6.295828909786556e-06,0.005142163660089499,0.0040733486763096394
6.298823424703691e-06,0.005171987985810329,0.004339499162021963
6.3018179396208255e-06,0.005196349633272524,0.004605649489770505
6.304812454537961e-06,0.005216505145381446,0.004871799686488803
6.307806969455096e-06,0.005233764500157827,0.0051379497802600425
6.311473710084031e-06,0.0052522709913049685,0.005463846646293528
6.315140450712966e-06,0.0052681599061471795,0.005789743394744841
6.318807191341901e-06,0.005281852229425711,0.006115640034486332
6.3224739319708366e-06,0.005293944488503573,0.0064415365781671325
6.326140672599772e-06,0.005305208753365456,0.006767433042213152
6.330788917185846e-06,0.005318996715330444,0.007180564556620151
6.33543716177192e-06,0.005331974344842297,0.007593695953572458
