No,L,C,fsw,t_d,delta_current,delta_voltage,Pl_s1,Pl_s2,Pl_C,Pl_L_Cu,P_D
1,3e-05,3e-05,20000,1.78e-07,459.0348642657058,22.680866894047572,2.5727074420928684,2.5727074420928684,1.5819122871435367,2.3244217067618997,0.011589945451825538
2,3e-05,3e-05,20000,5.89e-07,459.0348642657058,22.680866894047572,2.5727074420928684,2.5727074420928684,1.5819122871435367,2.3244217067618997,0.0383509992759845
3,3e-05,3e-05,20000,1e-06,459.0348642657058,22.680866894047572,2.5727074420928684,2.5727074420928684,1.5819122871435367,2.3244217067618997,0.06511205310014347
4,3e-05,3e-05,110000,1.78e-07,105.44643692377961,18.14313800388556,2.977380748749658,2.977380748749658,0.09828538987610164,0.5385677582158195,0.04873036901541252
5,3e-05,3e-05,110000,5.89e-07,105.44643692377961,18.14313800388556,2.977380748749658,2.977380748749658,0.09828538987610164,0.5385677582158195,0.1612482435397639
6,3e-05,3e-05,110000,1e-06,105.44643692377961,18.14313800388556,2.977380748749658,2.977380748749658,0.09828538987610164,0.5385677582158195,0.27376611806411527
7,3e-05,3e-05,200000,1.78e-07,59.27606746574463,18.170678660733202,3.9228295135244275,3.9228295135244275,0.05077308693411397,0.4908771517544086,0.08715222833341839
8,3e-05,3e-05,200000,5.89e-07,59.27606746574463,18.170678660733202,3.9228295135244275,3.9228295135244275,0.05077308693411397,0.4908771517544086,0.2883857443167609
9,3e-05,3e-05,200000,1e-06,59.27606746574463,18.170678660733202,3.9228295135244275,3.9228295135244275,0.05077308693411397,0.4908771517544086,0.4896192603001033
10,3e-05,0.000115,20000,1.78e-07,743.3841750006673,6.20295833378413,1.5923869642595578,1.5923869642595578,0.27015213313744646,1.811131006324687,0.007173640403882399
11,3e-05,0.000115,20000,5.89e-07,743.3841750006673,6.20295833378413,1.5923869642595578,1.5923869642595578,0.27015213313744646,1.811131006324687,0.023737495493745688
12,3e-05,0.000115,20000,1e-06,743.3841750006673,6.20295833378413,1.5923869642595578,1.5923869642595578,0.27015213313744646,1.811131006324687,0.04030135058360897
13,3e-05,0.000115,110000,1.78e-07,106.46036136226054,5.069347456980309,3.035891597363226,3.035891597363226,0.026613966927726447,0.5608609342709066,0.04968800778752505
14,3e-05,0.000115,110000,5.89e-07,106.46036136226054,5.069347456980309,3.035891597363226,3.035891597363226,0.026613966927726447,0.5608609342709066,0.16441705947669805
15,3e-05,0.000115,110000,1e-06,106.46036136226054,5.069347456980309,3.035891597363226,3.035891597363226,0.026613966927726447,0.5608609342709066,0.279146111165871
16,3e-05,0.000115,200000,1.78e-07,62.920473901121596,5.180051552322175,3.792808751774901,3.792808751774901,0.012393533722924075,0.46053102212052577,0.08426359932799957
17,3e-05,0.000115,200000,5.89e-07,62.920473901121596,5.180051552322175,3.792808751774901,3.792808751774901,0.012393533722924075,0.46053102212052577,0.27882730339433565
