Rank,Solution,Fitness,Volume L,Volume C,Voltage,Delta Vo,Delta IL,P_l_s1,P_l_s2,P_l_C,P_l_L_Cu,P_D,Total Losses
1,[8.7500e-04 5.8000e-05 5.6753e+04 2.6400e-07],5.3655415,2.0828406321502e-06,4.455e-06,10.818498,0.5007392,7.8164186,2.054932,2.054932,0.067284234,1.1560925,0.032300565,5.3655415
2,[1.9970e-03 3.7000e-05 2.3919e+04 2.0600e-07],5.7652617,2.0828406321502e-06,2.758e-06,10.819342,0.22822095,8.621249,1.71721,1.71721,0.29609367,2.0177324,0.017015733,5.765262
