Part_Number,OD(mm),ID(mm),Ht(mm),AL_Value(nH/T^2),N,L(uH),Vol(mm^3)
T250-75-270,63.5,31.8,25.4,242.0,71,1219.922,60266.470922375265
T250-75-271,63.5,31.8,25.4,242.0,72,1254.528,60266.470922375265
T250-75-272,63.5,31.8,25.4,242.0,73,1289.618,60266.470922375265
T250-75-273,63.5,31.8,25.4,242.0,74,1325.192,60266.470922375265
T250-75-274,63.5,31.8,25.4,242.0,75,1361.25,60266.470922375265
T250-75-275,63.5,31.8,25.4,242.0,76,1397.792,60266.470922375265
T250-75-276,63.5,31.8,25.4,242.0,77,1434.818,60266.470922375265
T250-75-277,63.5,31.8,25.4,242.0,78,1472.328,60266.470922375265
T250-75-278,63.5,31.8,25.4,242.0,79,1510.322,60266.470922375265
T250-75-279,63.5,31.8,25.4,242.0,80,1548.8,60266.470922375265
T250-75-280,63.5,31.8,25.4,242.0,81,1587.762,60266.470922375265
T250-75-281,63.5,31.8,25.4,242.0,82,1627.208,60266.470922375265
T250-75-282,63.5,31.8,25.4,242.0,83,1667.138,60266.470922375265
T250-75-283,63.5,31.8,25.4,242.0,84,1707.552,60266.470922375265
T250-75-284,63.5,31.8,25.4,242.0,85,1748.45,60266.470922375265
T250-75-285,63.5,31.8,25.4,242.0,86,1789.832,60266.470922375265
T250-75-286,63.5,31.8,25.4,242.0,87,1831.698,60266.470922375265
T250-75-287,63.5,31.8,25.4,242.0,88,1874.048,60266.470922375265
T250-75-288,63.5,31.8,25.4,242.0,89,1916.882,60266.470922375265
T250-75-289,63.5,31.8,25.4,242.0,90,1960.2,60266.470922375265
