Cap(uF),Diameter(mm),L(mm),Volume(mm^2)
47,5.0,11.0,215.98449493429828
100,6.3,11.0,342.8969841576919
220,8.0,11.5,578.0530482605219
330,8.0,15.0,753.9822368615503
470,8.0,20.0,1005.3096491487338
680,10.0,20.0,1570.7963267948967
820,10.0,25.0,1963.4954084936207
1000,12.5,20.0,2454.369260617026
1500,12.5,25.0,3067.9615757712822
1800,12.5,30.0,3681.553890925539
2200,12.5,35.0,4295.146206079796
2700,16.0,25.0,5026.548245743669
