No,L,C,fsw,RL,ESR,ESL,delta_current_percentage,delta_voltage_percentage,switching_loss,capacitor_loss,inductor_copper_loss
1,3e-05,3e-05,20000.0,0.079576,0.03713615338810892,1.463e-06,3.2556026550071735,4.590348642657058,22.680866894047572,5.145414884185737,1.5819122871435367,2.3244217067618997
2,3e-05,3e-05,40000.0,0.079576,0.01856807669405446,1.463e-06,2.409645363226292,3.0072737156896285,18.624827213420584,4.2432890988269705,0.3296182553249615,0.8102688117032015
3,3e-05,3e-05,60000.0,0.079576,0.012378717796036305,1.463e-06,2.4405377487365643,1.970801367587557,18.374153517548702,4.738157606907115,0.1916824454767012,0.627383919102943
4,3e-05,3e-05,80000.0,0.079576,0.00928403834702723,1.463e-06,2.48546822533081,1.4504929910701714,18.243136161916134,5.273964736693952,0.13992315541865402,0.5777732502237904
5,3e-05,3e-05,100000.0,0.079576,0.007427230677621783,1.463e-06,2.4824455183620753,1.1623796970951927,18.16653956711326,5.715582561476841,0.10855421582782238,0.5456048515985412
6,3e-05,3e-05,120000.0,0.079576,0.006189358898018153,1.463e-06,2.5007361928061407,0.9624479329490082,18.21571698913786,6.209027878394511,0.09031275279389654,0.5360570987744999
7,3e-05,3e-05,140000.0,0.079576,0.005305164769729845,1.463e-06,2.495669145103166,0.8275623053526739,18.177115011905073,6.646865374301967,0.07637566213891037,0.5239146409082174
8,3e-05,3e-05,160000.0,0.079576,0.004642019173513615,1.463e-06,2.475494560276889,0.7309183722697533,18.215148219469267,7.039910450297828,0.06536489269174711,0.5093576995650276
9,3e-05,3e-05,180000.0,0.079576,0.004126239265345435,1.463e-06,2.458818772527196,0.6549253280646559,18.223048300099652,7.436254790129448,0.05708449191208448,0.4982961629957551
10,3e-05,3e-05,200000.0,0.079576,0.0037136153388108916,1.463e-06,2.4480963015005166,0.5927606746574463,18.170678660733202,7.845659027048855,0.05077308693411397,0.4908771517544086
11,3e-05,4.888888888888889e-05,20000.0,0.079576,0.022788094124521378,8.9775e-07,3.1506426912870067,4.7476518728032495,14.28435982666768,4.979527760725289,0.9362428328347989,2.2736519950033713
12,3e-05,4.888888888888889e-05,40000.0,0.079576,0.011394047062260689,8.9775e-07,2.901567935584649,2.528763517775705,11.802092717109295,5.109545071847143,0.26924665413611,1.0269699941352464
13,3e-05,4.888888888888889e-05,60000.0,0.079576,0.0075960313748404595,8.9775e-07,2.3855366757597785,2.044279413796182,11.706461389928494,4.631376323787064,0.11308667748585027,0.6105578678180258
14,3e-05,4.888888888888889e-05,80000.0,0.079576,0.005697023531130344,8.9775e-07,2.388084797350216,1.5304903321821637,11.632843876781475,5.067324893193371,0.07977832740415366,0.5424031425542409
15,3e-05,4.888888888888889e-05,100000.0,0.079576,0.004557618824904276,8.9775e-07,2.417728173103511,1.209334082661258,11.547143358398326,5.566577345753523,0.06336079816077268,0.5218445598016014
16,3e-05,4.888888888888889e-05,120000.0,0.079576,0.0037980156874202298,8.9775e-07,2.4070638882378526,1.0125034236903936,11.615192438471041,5.976450786828,0.05149059347912485,0.5004483558570125
17,3e-05,4.888888888888889e-05,140000.0,0.079576,0.003255442017788769,8.9775e-07,2.4317376301862366,0.8593690740890699,11.575758696796319,6.476592734732814,0.04455946761265402,0.49952025082250684
18,3e-05,4.888888888888889e-05,160000.0,0.079576,0.002848511765565172,8.9775e-07,2.4315231301970393,0.7523352702529486,11.593395884624172,6.914862738579547,0.038727381514791145,0.4926687474426731
19,3e-05,4.888888888888889e-05,180000.0,0.079576,0.002532010458280153,8.9775e-07,2.435210604834785,0.6680417647584201,11.551434940530614,7.3648561364139375,0.03437089125787041,0.48945579135196865
20,3e-05,4.888888888888889e-05,200000.0,0.079576,0.002278809412452138,8.9775e-07,2.445609784974918,0.5989746741228142,11.532245200182741,7.8376902388876175,0.03109382175168703,0.49017421134666495
21,3e-05,6.777777777777778e-05,20000.0,0.079576,0.01643731379473673,6.475573770491803e-07,3.104511667643335,4.820474658215482,10.463822901307688,4.906618600476937,0.6646507317620289,2.2520917593175747
22,3e-05,6.777777777777778e-05,40000.0,0.079576,0.008218656897368365,6.475573770491803e-07,2.709186396823768,2.724383578230707,8.700403978888566,4.770768877350783,0.17425035760138108,0.9453193040656109
23,3e-05,6.777777777777778e-05,60000.0,0.079576,0.0054791045982455775,6.475573770491803e-07,2.375437360724257,2.0666073149349073,8.60213513173347,4.611769109604501,0.08097795688592192,0.60883370550624
