No,L,C,fsw,average_current
327,3e-05,8.9e-05,181379,2.382817754226055
328,3e-05,8.9e-05,187586,2.3867065219045553
329,3e-05,8.9e-05,193793,2.3889710297958944
330,3e-05,8.9e-05,200000,2.386452016472532
331,3e-05,9.4e-05,20000,1.3306054391177575
332,3e-05,9.4e-05,26206,3.062352736762603
333,3e-05,9.4e-05,32413,2.920284271844169
334,3e-05,9.4e-05,38620,2.8745720839931233
335,3e-05,9.4e-05,44827,2.744929409094636
336,3e-05,9.4e-05,51034,2.521197832738361
337,3e-05,9.4e-05,57241,2.6167477312394056
338,3e-05,9.4e-05,63448,2.592932067663459
339,3e-05,9.4e-05,69655,2.575757949660766
340,3e-05,9.4e-05,75862,2.5946341446572956
341,3e-05,9.4e-05,82068,2.3752359452181526
342,3e-05,9.4e-05,88275,2.5865586820791546
343,3e-05,9.4e-05,94482,2.582332493382558
344,3e-05,9.4e-05,100689,2.578608194510972
345,3e-05,9.4e-05,106896,2.364972950816899
346,3e-05,9.4e-05,113103,2.378320728470227
347,3e-05,9.4e-05,119310,2.367430773040755
348,3e-05,9.4e-05,125517,2.3545716287899197
349,3e-05,9.4e-05,131724,2.3509143251784965
350,3e-05,9.4e-05,137931,2.3523391633133683
351,3e-05,9.4e-05,144137,2.353194475408587
352,3e-05,9.4e-05,150344,2.3580283346875324
353,3e-05,9.4e-05,156551,2.362742851572237
354,3e-05,9.4e-05,162758,2.3680605502515952
355,3e-05,9.4e-05,168965,2.373884257131008
356,3e-05,9.4e-05,175172,2.383034761381581
357,3e-05,9.4e-05,181379,2.3788982151259166
358,3e-05,9.4e-05,187586,2.376715541107649
359,3e-05,9.4e-05,193793,2.3831463455471753
360,3e-05,9.4e-05,200000,2.3826893218414638
361,3e-05,0.0001,20000,1.0049299079471494
362,3e-05,0.0001,26206,1.719374459608489
363,3e-05,0.0001,32413,2.9303242467576402
364,3e-05,0.0001,38620,2.7207961183126996
365,3e-05,0.0001,44827,2.652233608554365
366,3e-05,0.0001,51034,2.6423600673671443
367,3e-05,0.0001,57241,2.5932873684330033
368,3e-05,0.0001,63448,2.3604849758400333
369,3e-05,0.0001,69655,2.61288547003146
370,3e-05,0.0001,75862,2.587549252448589
371,3e-05,0.0001,82068,2.606999329645788
372,3e-05,0.0001,88275,2.6249997960739253
373,3e-05,0.0001,94482,2.6129005815550834
374,3e-05,0.0001,100689,2.6007901629105845
375,3e-05,0.0001,106896,2.5892699729010227
376,3e-05,0.0001,113103,2.373252534177123
377,3e-05,0.0001,119310,2.3806050550668307
378,3e-05,0.0001,125517,2.3681466569076473
379,3e-05,0.0001,131724,2.3505541106756254
380,3e-05,0.0001,137931,2.365070416225601
381,3e-05,0.0001,144137,2.3529204807823176
382,3e-05,0.0001,150344,2.359533348855515
383,3e-05,0.0001,156551,2.366755268155572
384,3e-05,0.0001,162758,2.3691858886375106
385,3e-05,0.0001,168965,2.3646687490293985
386,3e-05,0.0001,175172,2.3705797701745777
387,3e-05,0.0001,181379,2.376740304469653
388,3e-05,0.0001,187586,2.3798788415029892
389,3e-05,0.0001,193793,2.377455033676029
390,3e-05,0.0001,200000,2.3740705065136734
391,3e-05,0.000106,20000,1.0983662831442398
392,3e-05,0.000106,26206,1.6701016138610598
393,3e-05,0.000106,32413,2.347750935041099
394,3e-05,0.000106,38620,2.8744036098500354
395,3e-05,0.000106,44827,2.639730679769016
396,3e-05,0.000106,51034,2.6614254249210925
397,3e-05,0.000106,57241,2.6429043884027945
398,3e-05,0.000106,63448,2.6451594160558276
399,3e-05,0.000106,69655,2.6187142477022767
400,3e-05,0.000106,75862,2.6028448788330736
401,3e-05,0.000106,82068,2.591595919402118
402,3e-05,0.000106,88275,2.3594090098944775
403,3e-05,0.000106,94482,2.3509230550366156
404,3e-05,0.000106,100689,2.5856636608286356
405,3e-05,0.000106,106896,2.5528094496434464
406,3e-05,0.000106,113103,2.5360531308718617
407,3e-05,0.000106,119310,2.3741031262502785
408,3e-05,0.000106,125517,2.3801705709583825
409,3e-05,0.000106,131724,2.36989156640063
410,3e-05,0.000106,137931,2.3654216627932425
411,3e-05,0.000106,144137,2.3599121281757003
412,3e-05,0.000106,150344,2.357423723042935
413,3e-05,0.000106,156551,2.360506119604489
414,3e-05,0.000106,162758,2.36329735914763
415,3e-05,0.000106,168965,2.3634606818174193
416,3e-05,0.000106,175172,2.368526483854958
417,3e-05,0.000106,181379,2.364527221415137
418,3e-05,0.000106,187586,2.3738659925969956
419,3e-05,0.000106,193793,2.380780342871228
420,3e-05,0.000106,200000,2.377478594579704
421,3e-05,0.000112,20000,1.0174108173582987
422,3e-05,0.000112,26206,1.6448951774867695
423,3e-05,0.000112,32413,1.9484263437792986
424,3e-05,0.000112,38620,2.7196259327772823
425,3e-05,0.000112,44827,2.710808682298349
426,3e-05,0.000112,51034,2.682543655753794
427,3e-05,0.000112,57241,2.650922860821647
428,3e-05,0.000112,63448,2.62663578344224
429,3e-05,0.000112,69655,2.6327464787916464
430,3e-05,0.000112,75862,2.622494080190084
431,3e-05,0.000112,82068,2.6339132082694188
432,3e-05,0.000112,88275,2.6125116066439595
433,3e-05,0.000112,94482,2.369176762257768
434,3e-05,0.000112,100689,2.3590992212151356
435,3e-05,0.000112,106896,2.518498125086933
436,3e-05,0.000112,113103,2.516001772404488
437,3e-05,0.000112,119310,2.5127131271107452
438,3e-05,0.000112,125517,2.3780873637845694
439,3e-05,0.000112,131724,2.3653287769279
440,3e-05,0.000112,137931,2.3555158984440023
441,3e-05,0.000112,144137,2.3551917516014664
442,3e-05,0.000112,150344,2.3566793202305485
443,3e-05,0.000112,156551,2.359327484828922
444,3e-05,0.000112,162758,2.3658576740711537
445,3e-05,0.000112,168965,2.3611619093670972
446,3e-05,0.000112,175172,2.3644725812055896
447,3e-05,0.000112,181379,2.362805846238617
448,3e-05,0.000112,187586,2.363440945702649
449,3e-05,0.000112,193793,2.3643431928181786
450,3e-05,0.000112,200000,2.3709321326101587
451,3e-05,0.000118,20000,2.4678040990765076
452,3e-05,0.000118,26206,1.5906336837984147
453,3e-05,0.000118,32413,1.9555296256135708
454,3e-05,0.000118,38620,1.8075188235849702
455,3e-05,0.000118,44827,2.7303847883953636
456,3e-05,0.000118,51034,2.675975637119274
457,3e-05,0.000118,57241,2.650965704265832
458,3e-05,0.000118,63448,2.648771741299611
459,3e-05,0.000118,69655,2.6697114831821285
460,3e-05,0.000118,75862,2.6608641511021225
461,3e-05,0.000118,82068,2.628526953122808
462,3e-05,0.000118,88275,2.5968882852003397
463,3e-05,0.000118,94482,2.566551230922684
464,3e-05,0.000118,100689,2.536301430878579
465,3e-05,0.000118,106896,2.5262623657834227
466,3e-05,0.000118,113103,2.5338184843407086
467,3e-05,0.000118,119310,2.5300053152309254
468,3e-05,0.000118,125517,2.5142359315178413
469,3e-05,0.000118,131724,2.369746587933041
470,3e-05,0.000118,137931,2.488533845542486
471,3e-05,0.000118,144137,2.3628159354116094
472,3e-05,0.000118,150344,2.3597176814738674
473,3e-05,0.000118,156551,2.3603863185290823
474,3e-05,0.000118,162758,2.365933720914014
475,3e-05,0.000118,168965,2.358628717348099
476,3e-05,0.000118,175172,2.3593424894537103
477,3e-05,0.000118,181379,2.3667843066613097
478,3e-05,0.000118,187586,2.3666351990051506
479,3e-05,0.000118,193793,2.364052957830848
480,3e-05,0.000118,200000,2.3671902474499653
481,3e-05,0.000124,20000,2.418526342046063
482,3e-05,0.000124,26206,1.5625933337895064
483,3e-05,0.000124,32413,1.9266160103661627
484,3e-05,0.000124,38620,1.6930092118510087
485,3e-05,0.000124,44827,2.3297863687113747
486,3e-05,0.000124,51034,2.6825004486092623
487,3e-05,0.000124,57241,2.664706492737884
488,3e-05,0.000124,63448,2.6310310659733007
489,3e-05,0.000124,69655,2.6711511293599273
490,3e-05,0.000124,75862,2.360486810293763
491,3e-05,0.000124,82068,2.6413279979350577
492,3e-05,0.000124,88275,2.5894084429394097
493,3e-05,0.000124,94482,2.551748310137919
494,3e-05,0.000124,100689,2.52675279507819
495,3e-05,0.000124,106896,2.541902173758625
496,3e-05,0.000124,113103,2.5402135750655437
497,3e-05,0.000124,119310,2.5335544188255903
498,3e-05,0.000124,125517,2.495514606169248
499,3e-05,0.000124,131724,2.487926821596296
500,3e-05,0.000124,137931,2.369698420861765
501,3e-05,0.000124,144137,2.4475928442460573
502,3e-05,0.000124,150344,2.3706337844043572
503,3e-05,0.000124,156551,2.355731441924468
504,3e-05,0.000124,162758,2.369032349047128
505,3e-05,0.000124,168965,2.3606369654744084
506,3e-05,0.000124,175172,2.359277453055919
507,3e-05,0.000124,181379,2.3713816151934646
508,3e-05,0.000124,187586,2.3680632252570555
509,3e-05,0.000124,193793,2.3703779016542232
510,3e-05,0.000124,200000,2.3619705821308083
511,3e-05,0.00013,20000,2.4680660535117935
512,3e-05,0.00013,26206,1.5295486740589397
513,3e-05,0.00013,32413,1.8878735111573124
514,3e-05,0.00013,38620,1.688336267016406
515,3e-05,0.00013,44827,1.8517471365746303
516,3e-05,0.00013,51034,2.6902858216560412
517,3e-05,0.00013,57241,2.6554287997719173
518,3e-05,0.00013,63448,2.6833602632539093
519,3e-05,0.00013,69655,2.6688560305397235
520,3e-05,0.00013,75862,2.650488221915865
521,3e-05,0.00013,82068,2.616997180974566
522,3e-05,0.00013,88275,2.541322103233911
523,3e-05,0.00013,94482,2.531082027336398
524,3e-05,0.00013,100689,2.5265118895835617
525,3e-05,0.00013,106896,2.545913221124694
526,3e-05,0.00013,113103,2.55046751257777
527,3e-05,0.00013,119310,2.5224976581904834
528,3e-05,0.00013,125517,2.505370383396339
529,3e-05,0.00013,131724,2.376706998094905
530,3e-05,0.00013,137931,2.445759371294741
531,3e-05,0.00013,144137,2.370361767321629
532,3e-05,0.00013,150344,2.441751901916126
533,3e-05,0.00013,156551,2.4446243755862764
534,3e-05,0.00013,162758,2.3575511463526624
535,3e-05,0.00013,168965,2.361216624850037
536,3e-05,0.00013,175172,2.3582391449215367
537,3e-05,0.00013,181379,2.362199990372126
538,3e-05,0.00013,187586,2.3704329718714354
539,3e-05,0.00013,193793,2.3703096701411774
540,3e-05,0.00013,200000,2.3661205938546437
541,3e-05,0.000136,20000,2.401186473836031
542,3e-05,0.000136,26206,2.2965073013158177
543,3e-05,0.000136,32413,1.8551601402899913
544,3e-05,0.000136,38620,1.6543367331716219
545,3e-05,0.000136,44827,1.8245079270119602
546,3e-05,0.000136,51034,1.9252030025418843
547,3e-05,0.000136,57241,2.661834970853898
548,3e-05,0.000136,63448,2.653715125111872
549,3e-05,0.000136,69655,2.673941869673135
550,3e-05,0.000136,75862,2.647276227140891
551,3e-05,0.000136,82068,2.6060336238496307
552,3e-05,0.000136,88275,2.534797653379871
553,3e-05,0.000136,94482,2.533235308800585
554,3e-05,0.000136,100689,2.529478306136418
555,3e-05,0.000136,106896,2.5402874788902725
556,3e-05,0.000136,113103,2.533859575303229
557,3e-05,0.000136,119310,2.5111859220352906
558,3e-05,0.000136,125517,2.5004945470535866
559,3e-05,0.000136,131724,2.4842956507503855
560,3e-05,0.000136,137931,2.454162358513942
561,3e-05,0.000136,144137,2.4392930414847602
562,3e-05,0.000136,150344,2.365863272858785
