No,L,C,fsw,delta_current,delta_voltage,Pl_s1,Pl_s2Pl_C,Pl_L_Cu
1,3e-05,3e-05,20000.0,4.590348642657058,22.680866894047572,2.5727074420928684,2.5727074420928684,1.5819122871435367,2.3244217067618997
2,3e-05,3e-05,26206.896551724138,4.747578151355271,20.009036475066534,1.9313465132358256,1.9313465132358256,0.6647468102662306,1.276056823664933
3,3e-05,3e-05,32413.793103448275,3.8348331926834143,19.228145847651323,1.983221367619656,1.983221367619656,0.44672264415234186,0.9726414643625471
4,3e-05,3e-05,38620.68965517241,3.1464906390943863,18.715943461585418,2.0867433001315776,2.0867433001315776,0.3432189496978245,0.8273956563167847
5,3e-05,3e-05,44827.58620689655,2.675970674828514,18.592295199327758,2.1762895314768844,2.1762895314768844,0.2787237781710799,0.739235601645886
6,3e-05,3e-05,51034.48275862069,2.32648181365677,18.402206890818466,2.263693013309939,2.263693013309939,0.2358022880838256,0.6837253955292355
7,3e-05,3e-05,57241.379310344826,2.061336197945721,18.371960576876102,2.3443545403656283,2.3443545403656283,0.20443003884516428,0.6449088557880237
8,3e-05,3e-05,63448.275862068964,1.864349756196376,18.345713937645616,2.4056296434034246,2.4056296434034246,0.17850103442331605,0.6105373860436374
9,3e-05,3e-05,69655.1724137931,1.6891847829716258,18.25587747955449,2.48647830283295,2.48647830283295,0.1606630601470159,0.5919366284651211
10,3e-05,3e-05,75862.06896551725,1.5350748951841828,18.18340412433666,2.581351015489808,2.581351015489808,0.14787344603696265,0.5839361271082251
11,3e-05,3e-05,82068.96551724138,1.4130044683016088,18.257212506584377,2.6619891975693113,2.6619891975693113,0.1360384116855445,0.5741538543255479
12,3e-05,3e-05,88275.8620689655,1.3115886500357423,18.20524647233933,2.736210281291235,2.736210281291235,0.12559393006223274,0.5647025904861643
13,3e-05,3e-05,94482.75862068965,1.2330091482498542,18.22019082991094,2.789207035477153,2.789207035477153,0.11507330078462029,0.5498397171708591
14,3e-05,3e-05,100689.6551724138,1.1567010534100277,18.16482253029846,2.8599368951912982,2.8599368951912982,0.10733729065650088,0.5429462901235624
15,3e-05,3e-05,106896.55172413793,1.0823139600875717,18.137261012337667,2.9496375963273938,2.9496375963273938,0.10186082458611384,0.5436284643252383
16,3e-05,3e-05,113103.44827586206,1.0149047642637596,18.207343183158276,3.0442162145262572,3.0442162145262572,0.09732213689392619,0.5466318349576166
17,3e-05,3e-05,119310.3448275862,0.9665606121188293,18.213033343058232,3.1012687232804272,3.1012687232804272,0.09112919846786607,0.5379587473636382
18,3e-05,3e-05,125517.24137931035,0.9281424950471638,18.242745916261423,3.140395799547976,3.140395799547976,0.08469705463909616,0.5245212943136922
19,3e-05,3e-05,131724.1379310345,0.8835238108465138,18.18850134368518,3.2141725694238534,3.2141725694238534,0.0806695168808452,0.5226304224704618
20,3e-05,3e-05,137931.0344827586,0.8435811613066746,18.18976638241871,3.2856282151585035,3.2856282151585035,0.07692160146461252,0.5204145989157055
21,3e-05,3e-05,144137.93103448275,0.8055468985284474,18.180131699895455,3.363567635405313,3.363567635405313,0.07379489295035231,0.5204286874171702
22,3e-05,3e-05,150344.8275862069,0.7740808929986176,18.180748002961604,3.426669339132011,3.426669339132011,0.07033693222645855,0.5163754105770432
23,3e-05,3e-05,156551.724137931,0.7456612709656981,18.225193142541553,3.4870449268523225,3.4870449268523225,0.06707735228216818,0.5118865985568394
24,3e-05,3e-05,162758.62068965516,0.7150164300266951,18.29223834243738,3.568814258486441,3.568814258486441,0.06485328732226567,0.5136045852706501
25,3e-05,3e-05,168965.5172413793,0.6950000000760002,18.311775544521478,3.6071585013650385,3.6071585013650385,0.061331113990618344,0.5036573536646848
26,3e-05,3e-05,175172.41379310345,0.6717435954832061,18.239720795982777,3.6701794760197926,3.6701794760197926,0.05888926182573786,0.5007203322449221
27,3e-05,3e-05,181379.3103448276,0.650253461001102,18.22090783065861,3.731980652925113,3.731980652925113,0.056592795875937976,0.4976651520410895
28,3e-05,3e-05,187586.2068965517,0.6268097501283706,18.18410104637407,3.8139931757396974,3.8139931757396974,0.05503535132160374,0.4999145869412088
29,3e-05,3e-05,193793.10344827586,0.6080920536814325,18.162154341959646,3.875910231904184,3.875910231904184,0.05302802166909694,0.49714490612246764
30,3e-05,3e-05,200000.0,0.5927606746574463,18.170678660733202,3.9228295135244275,3.9228295135244275,0.05077308693411397,0.4908771517544086
31,3e-05,3.6e-05,20000.0,6.244426404835196,18.7915511994173,1.89164245157256,1.89164245157256,0.9792389642815948,1.937627657517992
32,3e-05,3.6e-05,26206.896551724138,4.73525774026066,16.891146998963002,1.9426093305078518,1.9426093305078518,0.5574186316348388,1.2866162476640923
33,3e-05,3.6e-05,32413.793103448275,3.800971623262157,16.160707032704774,2.0099059094871583,2.0099059094871583,0.3786614006144745,0.9893196379814548
34,3e-05,3.6e-05,38620.68965517241,3.2155896916493396,15.929708930946124,2.05247798703819,2.05247798703819,0.2793245959314928,0.8165139032840948
35,3e-05,3.6e-05,44827.58620689655,2.698626400866709,15.723063845316057,2.1699313328139147,2.1699313328139147,0.23121527451565982,0.7395928137046714
36,3e-05,3.6e-05,51034.48275862069,2.411055991707791,15.642976571870292,2.1967488973037614,2.1967488973037614,0.18708650211427363,0.6586999640926595
37,3e-05,3.6e-05,57241.379310344826,2.133455703458302,15.556039213092768,2.278215918618886,2.278215918618886,0.1622584933062583,0.6203729886312231
38,3e-05,3.6e-05,63448.275862068964,1.9037181878975162,15.505115720243062,2.369556698374052,2.369556698374052,0.14486416179911757,0.5980424801337952
