Combination,Overall_Rank
"(2, 128)",14
"(3, 128)",18
"(2, 64)",25
"(3, 256)",31
"(4, 256)",38
"(4, 512)",43
"(2, 256)",44
"(7, 128)",62
"(5, 128)",62
"(6, 128)",66
"(4, 64)",68
"(3, 512)",72
"(1, 256)",75
"(7, 64)",77
"(7, 512)",80
"(3, 64)",92
"(4, 128)",95
"(5, 256)",97
"(6, 512)",98
"(2, 512)",101
"(6, 32)",103
"(6, 256)",104
"(1, 512)",107
"(1, 128)",112
"(8, 256)",119
"(4, 32)",126
"(5, 64)",128
"(8, 64)",135
"(3, 32)",139
"(7, 32)",149
"(5, 32)",153
"(8, 128)",158
"(2, 32)",159
"(6, 64)",168
"(5, 512)",171
"(1, 64)",171
"(5, 16)",173
"(3, 16)",181
"(4, 16)",189
"(1, 32)",195
"(1, 16)",197
"(7, 16)",198
"(8, 512)",208
"(8, 32)",210
"(8, 16)",212
"(7, 256)",214
"(6, 16)",220
"(2, 16)",223
