Combination,Overall_Rank
"(2, 128)",29
"(3, 128)",29
"(3, 512)",37
"(4, 256)",44
"(5, 256)",45
"(2, 64)",45
"(8, 128)",48
"(4, 512)",53
"(3, 64)",54
"(4, 64)",58
"(4, 128)",61
"(2, 256)",62
"(6, 128)",63
"(5, 128)",67
"(3, 256)",69
"(6, 64)",82
"(5, 64)",82
"(1, 512)",95
"(5, 512)",96
"(1, 128)",102
"(7, 512)",103
"(8, 256)",115
"(2, 512)",125
"(7, 128)",126
"(6, 32)",128
"(8, 512)",132
"(1, 256)",135
"(7, 64)",137
"(7, 256)",140
"(5, 32)",147
"(4, 32)",153
"(6, 256)",154
"(3, 32)",165
"(3, 16)",168
"(1, 64)",169
"(8, 64)",170
"(6, 512)",178
"(2, 32)",180
"(1, 32)",183
"(8, 16)",187
"(4, 16)",188
"(7, 32)",191
"(2, 16)",204
"(6, 16)",205
"(8, 32)",205
"(5, 16)",214
"(1, 16)",217
"(7, 16)",240
