Combination,Overall_Rank
"(4, 256)",14
"(5, 256)",14
"(3, 128)",18
"(4, 128)",25
"(2, 512)",36
"(2, 64)",38
"(3, 256)",39
"(2, 256)",48
"(3, 512)",61
"(3, 64)",65
"(5, 128)",65
"(4, 512)",70
"(6, 64)",71
"(1, 512)",80
"(7, 256)",83
"(4, 32)",86
"(5, 32)",88
"(6, 32)",106
"(1, 256)",106
"(4, 64)",107
"(5, 512)",109
"(7, 512)",110
"(8, 64)",116
"(6, 128)",123
"(2, 128)",126
"(8, 512)",128
"(8, 128)",128
"(6, 256)",130
"(1, 128)",131
"(7, 128)",136
"(5, 64)",145
"(1, 64)",154
"(6, 512)",156
"(3, 32)",165
"(2, 32)",170
"(7, 16)",171
"(7, 32)",179
"(8, 256)",181
"(5, 16)",189
"(2, 16)",197
"(8, 32)",198
"(4, 16)",204
"(6, 16)",206
"(8, 16)",212
"(1, 32)",214
"(1, 16)",221
"(7, 64)",224
"(3, 16)",237
