Combination,Overall_Rank
"(4, 256)",2
"(5, 256)",5
"(5, 128)",6
"(3, 128)",8
"(2, 128)",9
"(3, 256)",12
"(3, 512)",16
"(6, 64)",17
"(4, 64)",18
"(2, 256)",19
"(3, 64)",20
"(5, 64)",25
"(4, 512)",28
"(2, 512)",30
"(6, 128)",31
"(2, 64)",35
"(4, 32)",36
"(6, 256)",36
"(8, 512)",39
"(6, 512)",39
"(7, 128)",42
"(4, 128)",44
"(8, 256)",47
"(7, 64)",49
"(5, 512)",49
"(5, 32)",52
"(1, 512)",52
"(4, 16)",57
"(3, 32)",60
"(1, 64)",62
"(6, 32)",64
"(5, 16)",66
"(2, 32)",67
"(1, 256)",67
"(1, 128)",69
"(8, 16)",74
"(6, 16)",74
"(7, 32)",74
"(8, 32)",76
"(3, 16)",77
"(1, 32)",78
"(7, 16)",79
"(8, 64)",82
"(7, 256)",89
"(8, 128)",90
"(2, 16)",91
"(1, 16)",94
"(7, 512)",96
