Combination,Overall_Rank
"(2, 128)",14
"(3, 256)",18
"(2, 256)",24
"(4, 256)",26
"(3, 128)",28
"(4, 128)",32
"(5, 256)",45
"(7, 256)",57
"(3, 64)",58
"(3, 512)",67
"(7, 128)",68
"(5, 64)",71
"(2, 512)",73
"(6, 64)",86
"(4, 512)",89
"(1, 512)",90
"(5, 128)",97
"(1, 256)",97
"(6, 256)",103
"(5, 32)",105
"(2, 64)",105
"(8, 256)",108
"(4, 64)",113
"(6, 512)",117
"(6, 128)",117
"(1, 128)",122
"(7, 64)",124
"(5, 512)",127
"(4, 32)",131
"(8, 128)",134
"(7, 32)",144
"(2, 32)",152
"(6, 32)",153
"(3, 32)",158
"(1, 64)",166
"(8, 64)",173
"(1, 32)",178
"(8, 32)",187
"(8, 512)",191
"(5, 16)",198
"(6, 16)",200
"(7, 512)",210
"(7, 16)",216
"(4, 16)",218
"(8, 16)",220
"(2, 16)",220
"(1, 16)",220
"(3, 16)",230
