Combination,Capacitance,Total Volume
"series:[47.0, 100.0, 330.0, 680.0]",28,697.9
"series:[47.0, 100.0, 330.0, 820.0]",28,776.44
"series:[47.0, 100.0, 330.0, 1000.0]",28,776.44
"series:[47.0, 100.0, 470.0, 680.0]",29,760.74
"series:[47.0, 100.0, 470.0, 820.0]",29,839.28
"series:[47.0, 100.0, 470.0, 1000.0]",29,839.28
"series:[47.0, 100.0, 680.0, 820.0]",29,902.11
"series:[47.0, 100.0, 680.0, 1000.0]",30,902.11
"series:[47.0, 100.0, 820.0, 1000.0]",30,980.65
"series:[47.0, 220.0, 330.0, 470.0]",32,670.73
"series:[47.0, 220.0, 330.0, 680.0]",33,733.56
"series:[47.0, 220.0, 330.0, 820.0]",33,812.1
"series:[47.0, 220.0, 330.0, 1000.0]",33,812.1
"series:[47.0, 220.0, 470.0, 680.0]",34,796.39
"series:[47.0, 220.0, 470.0, 820.0]",34,874.93
"series:[47.0, 220.0, 470.0, 1000.0]",35,874.93
"series:[47.0, 220.0, 680.0, 820.0]",35,937.77
"series:[47.0, 220.0, 680.0, 1000.0]",35,937.77
"series:[47.0, 220.0, 820.0, 1000.0]",36,1016.31
"series:[47.0, 330.0, 470.0, 680.0]",36,840.38
"series:[47.0, 330.0, 470.0, 820.0]",36,918.92
"series:[47.0, 330.0, 470.0, 1000.0]",36,918.92
"series:[47.0, 330.0, 680.0, 820.0]",37,981.75
"series:[47.0, 330.0, 680.0, 1000.0]",37,981.75
"series:[47.0, 330.0, 820.0, 1000.0]",38,1060.29
"series:[47.0, 470.0, 680.0, 820.0]",38,1044.58
"series:[47.0, 470.0, 680.0, 1000.0]",39,1044.58
"series:[47.0, 470.0, 820.0, 1000.0]",39,1123.12
"series:[47.0, 680.0, 820.0, 1000.0]",40,1185.95
"series:[100.0, 220.0, 330.0, 470.0]",51,693.19
"series:[100.0, 220.0, 330.0, 680.0]",53,756.02
"series:[100.0, 220.0, 330.0, 820.0]",53,834.56
"series:[100.0, 220.0, 330.0, 1000.0]",54,834.56
"series:[100.0, 220.0, 470.0, 680.0]",55,818.86
"series:[100.0, 220.0, 470.0, 820.0]",56,897.4
"series:[100.0, 220.0, 470.0, 1000.0]",57,897.4
"series:[100.0, 220.0, 680.0, 820.0]",58,960.23
"series:[100.0, 220.0, 680.0, 1000.0]",59,960.23
"series:[100.0, 220.0, 820.0, 1000.0]",60,1038.77
"series:[100.0, 330.0, 470.0, 680.0]",60,862.84
"series:[100.0, 330.0, 470.0, 820.0]",61,941.38
"series:[100.0, 330.0, 470.0, 1000.0]",62,941.38
"series:[100.0, 330.0, 680.0, 820.0]",64,1004.21
"series:[100.0, 330.0, 680.0, 1000.0]",65,1004.21
"series:[100.0, 330.0, 820.0, 1000.0]",66,1082.75
"series:[100.0, 470.0, 680.0, 820.0]",67,1067.04
"series:[100.0, 470.0, 680.0, 1000.0]",69,1067.04
"series:[100.0, 470.0, 820.0, 1000.0]",70,1145.58
"series:[100.0, 680.0, 820.0, 1000.0]",73,1208.41
"series:[220.0, 330.0, 470.0, 680.0]",89,898.5
"series:[220.0, 330.0, 470.0, 820.0]",92,977.04
"series:[220.0, 330.0, 470.0, 1000.0]",93,977.04
"series:[220.0, 330.0, 680.0, 820.0]",97,1039.87
"series:[220.0, 330.0, 680.0, 1000.0]",100,1039.87
"series:[220.0, 330.0, 820.0, 1000.0]",102,1118.41
"series:[220.0, 470.0, 680.0, 820.0]",107,1102.7
"series:[220.0, 470.0, 680.0, 1000.0]",109,1102.7
"series:[220.0, 470.0, 820.0, 1000.0]",112,1181.24
"series:[220.0, 680.0, 820.0, 1000.0]",121,1244.07
"series:[330.0, 470.0, 680.0, 820.0]",127,1146.68
"series:[330.0, 470.0, 680.0, 1000.0]",131,1146.68
"series:[330.0, 470.0, 820.0, 1000.0]",136,1225.22
"series:[330.0, 680.0, 820.0, 1000.0]",149,1288.05
"series:[470.0, 680.0, 820.0, 1000.0]",172,1350.88
"series:[47.0, 100.0, 220.0, 330.0, 470.0]",24,779.59
"series:[47.0, 100.0, 220.0, 330.0, 680.0]",25,842.42
"series:[47.0, 100.0, 220.0, 330.0, 820.0]",25,920.96
"series:[47.0, 100.0, 220.0, 330.0, 1000.0]",25,920.96
"series:[47.0, 100.0, 220.0, 470.0, 680.0]",25,905.25
"series:[47.0, 100.0, 220.0, 470.0, 820.0]",26,983.79
"series:[47.0, 100.0, 220.0, 470.0, 1000.0]",26,983.79
"series:[47.0, 100.0, 220.0, 680.0, 820.0]",26,1046.62
"series:[47.0, 100.0, 220.0, 680.0, 1000.0]",26,1046.62
"series:[47.0, 100.0, 220.0, 820.0, 1000.0]",26,1125.16
"series:[47.0, 100.0, 330.0, 470.0, 680.0]",26,949.23
"series:[47.0, 100.0, 330.0, 470.0, 820.0]",27,1027.77
"series:[47.0, 100.0, 330.0, 470.0, 1000.0]",27,1027.77
"series:[47.0, 100.0, 330.0, 680.0, 820.0]",27,1090.6
"series:[47.0, 100.0, 330.0, 680.0, 1000.0]",27,1090.6
"series:[47.0, 100.0, 330.0, 820.0, 1000.0]",27,1169.14
"series:[47.0, 100.0, 470.0, 680.0, 820.0]",28,1153.44
"series:[47.0, 100.0, 470.0, 680.0, 1000.0]",28,1153.44
"series:[47.0, 100.0, 470.0, 820.0, 1000.0]",28,1231.98
"series:[47.0, 100.0, 680.0, 820.0, 1000.0]",29,1294.81
"series:[47.0, 220.0, 330.0, 470.0, 680.0]",31,984.89
"series:[47.0, 220.0, 330.0, 470.0, 820.0]",31,1063.43
"series:[47.0, 220.0, 330.0, 470.0, 1000.0]",31,1063.43
"series:[47.0, 220.0, 330.0, 680.0, 820.0]",32,1126.26
"series:[47.0, 220.0, 330.0, 680.0, 1000.0]",32,1126.26
"series:[47.0, 220.0, 330.0, 820.0, 1000.0]",32,1204.8
"series:[47.0, 220.0, 470.0, 680.0, 820.0]",33,1189.09
"series:[47.0, 220.0, 470.0, 680.0, 1000.0]",33,1189.09
"series:[47.0, 220.0, 470.0, 820.0, 1000.0]",33,1267.63
"series:[47.0, 220.0, 680.0, 820.0, 1000.0]",34,1330.46
"series:[47.0, 330.0, 470.0, 680.0, 820.0]",34,1233.08
"series:[47.0, 330.0, 470.0, 680.0, 1000.0]",35,1233.08
"series:[47.0, 330.0, 470.0, 820.0, 1000.0]",35,1311.61
"series:[47.0, 330.0, 680.0, 820.0, 1000.0]",36,1374.45
"series:[47.0, 470.0, 680.0, 820.0, 1000.0]",37,1437.28
"series:[100.0, 220.0, 330.0, 470.0, 680.0]",47,1007.35
"series:[100.0, 220.0, 330.0, 470.0, 820.0]",48,1085.89
"series:[100.0, 220.0, 330.0, 470.0, 1000.0]",48,1085.89
"series:[100.0, 220.0, 330.0, 680.0, 820.0]",49,1148.72
"series:[100.0, 220.0, 330.0, 680.0, 1000.0]",50,1148.72
"series:[100.0, 220.0, 330.0, 820.0, 1000.0]",51,1227.26
"series:[100.0, 220.0, 470.0, 680.0, 820.0]",52,1211.56
"series:[100.0, 220.0, 470.0, 680.0, 1000.0]",52,1211.56
"series:[100.0, 220.0, 470.0, 820.0, 1000.0]",53,1290.1
"series:[100.0, 220.0, 680.0, 820.0, 1000.0]",55,1352.93
"series:[100.0, 330.0, 470.0, 680.0, 820.0]",56,1255.54
"series:[100.0, 330.0, 470.0, 680.0, 1000.0]",57,1255.54
"series:[100.0, 330.0, 470.0, 820.0, 1000.0]",58,1334.08
"series:[100.0, 330.0, 680.0, 820.0, 1000.0]",60,1396.91
"series:[100.0, 470.0, 680.0, 820.0, 1000.0]",63,1459.74
"series:[220.0, 330.0, 470.0, 680.0, 820.0]",81,1291.19
"series:[220.0, 330.0, 470.0, 680.0, 1000.0]",82,1291.19
"series:[220.0, 330.0, 470.0, 820.0, 1000.0]",84,1369.73
"series:[220.0, 330.0, 680.0, 820.0, 1000.0]",89,1432.57
"series:[220.0, 470.0, 680.0, 820.0, 1000.0]",96,1495.4
"series:[330.0, 470.0, 680.0, 820.0, 1000.0]",113,1539.38
parallel:[47.0] and series:[47.0],94.0,172.78
parallel:[47.0] and series:[100.0],147.0,195.25
parallel:[47.0] and series:[220.0],267.0,230.9
parallel:[47.0] and series:[330.0],377.0,274.89
parallel:[47.0] and series:[470.0],517.0,337.72
parallel:[47.0] and series:[680.0],727.0,400.55
parallel:[47.0] and series:[820.0],867.0,479.09
"parallel:[47.0] and series:[47.0, 100.0]",79.0,281.64
"parallel:[47.0] and series:[47.0, 220.0]",86.0,317.3
"parallel:[47.0] and series:[47.0, 330.0]",88.0,361.28
"parallel:[47.0] and series:[47.0, 470.0]",90.0,424.11
"parallel:[47.0] and series:[47.0, 680.0]",91.0,486.94
"parallel:[47.0] and series:[47.0, 820.0]",91.0,565.48
"parallel:[47.0] and series:[47.0, 1000.0]",92.0,565.48
"parallel:[47.0] and series:[100.0, 220.0]",116.0,339.76
"parallel:[47.0] and series:[100.0, 330.0]",124.0,383.74
"parallel:[47.0] and series:[100.0, 470.0]",129.0,446.57
"parallel:[47.0] and series:[100.0, 680.0]",134.0,509.41
"parallel:[47.0] and series:[100.0, 820.0]",136.0,587.95
"parallel:[47.0] and series:[100.0, 1000.0]",138.0,587.95
"parallel:[47.0] and series:[220.0, 330.0]",179.0,419.4
"parallel:[47.0] and series:[220.0, 470.0]",197.0,482.23
"parallel:[47.0] and series:[220.0, 680.0]",213.0,545.06
"parallel:[47.0] and series:[220.0, 820.0]",220.0,623.6
"parallel:[47.0] and series:[220.0, 1000.0]",227.0,623.6
"parallel:[47.0] and series:[330.0, 470.0]",241.0,526.21
"parallel:[47.0] and series:[330.0, 680.0]",269.0,589.04
"parallel:[47.0] and series:[330.0, 820.0]",282.0,667.58
"parallel:[47.0] and series:[330.0, 1000.0]",295.0,667.58
"parallel:[47.0] and series:[470.0, 680.0]",325.0,651.88
"parallel:[47.0] and series:[470.0, 820.0]",346.0,730.42
"parallel:[47.0] and series:[470.0, 1000.0]",367.0,730.42
"parallel:[47.0] and series:[680.0, 820.0]",419.0,793.25
"parallel:[47.0] and series:[680.0, 1000.0]",452.0,793.25
"parallel:[47.0] and series:[820.0, 1000.0]",498.0,871.79
"parallel:[47.0] and series:[47.0, 100.0, 220.0]",75.0,426.15
"parallel:[47.0] and series:[47.0, 100.0, 330.0]",76.0,470.14
"parallel:[47.0] and series:[47.0, 100.0, 470.0]",77.0,532.97
"parallel:[47.0] and series:[47.0, 100.0, 680.0]",78.0,595.8
"parallel:[47.0] and series:[47.0, 100.0, 820.0]",78.0,674.34
"parallel:[47.0] and series:[47.0, 100.0, 1000.0]",78.0,674.34
"parallel:[47.0] and series:[47.0, 220.0, 330.0]",82.0,505.79
"parallel:[47.0] and series:[47.0, 220.0, 470.0]",83.0,568.62
"parallel:[47.0] and series:[47.0, 220.0, 680.0]",84.0,631.46
"parallel:[47.0] and series:[47.0, 220.0, 820.0]",84.0,710.0
"parallel:[47.0] and series:[47.0, 220.0, 1000.0]",84.0,710.0
"parallel:[47.0] and series:[47.0, 330.0, 470.0]",85.0,612.61
"parallel:[47.0] and series:[47.0, 330.0, 680.0]",86.0,675.44
"parallel:[47.0] and series:[47.0, 330.0, 820.0]",86.0,753.98
"parallel:[47.0] and series:[47.0, 330.0, 1000.0]",87.0,753.98
"parallel:[47.0] and series:[47.0, 470.0, 680.0]",87.0,738.27
"parallel:[47.0] and series:[47.0, 470.0, 820.0]",88.0,816.81
"parallel:[47.0] and series:[47.0, 470.0, 1000.0]",88.0,816.81
"parallel:[47.0] and series:[47.0, 680.0, 820.0]",89.0,879.64
"parallel:[47.0] and series:[47.0, 680.0, 1000.0]",89.0,879.64
"parallel:[47.0] and series:[47.0, 820.0, 1000.0]",90.0,958.18
"parallel:[47.0] and series:[100.0, 220.0, 330.0]",104.0,528.26
"parallel:[47.0] and series:[100.0, 220.0, 470.0]",107.0,591.09
"parallel:[47.0] and series:[100.0, 220.0, 680.0]",109.0,653.92
"parallel:[47.0] and series:[100.0, 220.0, 820.0]",110.0,732.46
"parallel:[47.0] and series:[100.0, 220.0, 1000.0]",111.0,732.46
"parallel:[47.0] and series:[100.0, 330.0, 470.0]",113.0,635.07
"parallel:[47.0] and series:[100.0, 330.0, 680.0]",116.0,697.9
"parallel:[47.0] and series:[100.0, 330.0, 820.0]",117.0,776.44
"parallel:[47.0] and series:[100.0, 330.0, 1000.0]",118.0,776.44
"parallel:[47.0] and series:[100.0, 470.0, 680.0]",121.0,760.73
"parallel:[47.0] and series:[100.0, 470.0, 820.0]",122.0,839.27
"parallel:[47.0] and series:[100.0, 470.0, 1000.0]",123.0,839.27
"parallel:[47.0] and series:[100.0, 680.0, 820.0]",126.0,902.1
"parallel:[47.0] and series:[100.0, 680.0, 1000.0]",127.0,902.1
"parallel:[47.0] and series:[100.0, 820.0, 1000.0]",129.0,980.64
"parallel:[47.0] and series:[220.0, 330.0, 470.0]",150.0,670.73
"parallel:[47.0] and series:[220.0, 330.0, 680.0]",158.0,733.56
"parallel:[47.0] and series:[220.0, 330.0, 820.0]",161.0,812.1
"parallel:[47.0] and series:[220.0, 330.0, 1000.0]",164.0,812.1
"parallel:[47.0] and series:[220.0, 470.0, 680.0]",170.0,796.39
"parallel:[47.0] and series:[220.0, 470.0, 820.0]",174.0,874.93
"parallel:[47.0] and series:[220.0, 470.0, 1000.0]",177.0,874.93
"parallel:[47.0] and series:[220.0, 680.0, 820.0]",185.0,937.76
"parallel:[47.0] and series:[220.0, 680.0, 1000.0]",190.0,937.76
"parallel:[47.0] and series:[220.0, 820.0, 1000.0]",195.0,1016.3
"parallel:[47.0] and series:[330.0, 470.0, 680.0]",198.0,840.37
"parallel:[47.0] and series:[330.0, 470.0, 820.0]",204.0,918.91
"parallel:[47.0] and series:[330.0, 470.0, 1000.0]",209.0,918.91
"parallel:[47.0] and series:[330.0, 680.0, 820.0]",222.0,981.74
"parallel:[47.0] and series:[330.0, 680.0, 1000.0]",229.0,981.74
"parallel:[47.0] and series:[330.0, 820.0, 1000.0]",237.0,1060.28
"parallel:[47.0] and series:[470.0, 680.0, 820.0]",255.0,1044.58
"parallel:[47.0] and series:[470.0, 680.0, 1000.0]",264.0,1044.58
"parallel:[47.0] and series:[470.0, 820.0, 1000.0]",277.0,1123.12
"parallel:[47.0] and series:[680.0, 820.0, 1000.0]",318.0,1185.95
"parallel:[47.0] and series:[47.0, 100.0, 220.0, 330.0]",73.0,614.65
"parallel:[47.0] and series:[47.0, 100.0, 220.0, 470.0]",73.0,677.48
"parallel:[47.0] and series:[47.0, 100.0, 220.0, 680.0]",74.0,740.31
"parallel:[47.0] and series:[47.0, 100.0, 220.0, 820.0]",74.0,818.85
"parallel:[47.0] and series:[47.0, 100.0, 220.0, 1000.0]",74.0,818.85
"parallel:[47.0] and series:[47.0, 100.0, 330.0, 470.0]",74.0,721.46
"parallel:[47.0] and series:[47.0, 100.0, 330.0, 680.0]",75.0,784.29
"parallel:[47.0] and series:[47.0, 100.0, 330.0, 820.0]",75.0,862.83
"parallel:[47.0] and series:[47.0, 100.0, 330.0, 1000.0]",75.0,862.83
"parallel:[47.0] and series:[47.0, 100.0, 470.0, 680.0]",76.0,847.13
"parallel:[47.0] and series:[47.0, 100.0, 470.0, 820.0]",76.0,925.67
"parallel:[47.0] and series:[47.0, 100.0, 470.0, 1000.0]",76.0,925.67
"parallel:[47.0] and series:[47.0, 100.0, 680.0, 820.0]",76.0,988.5
"parallel:[47.0] and series:[47.0, 100.0, 680.0, 1000.0]",77.0,988.5
"parallel:[47.0] and series:[47.0, 100.0, 820.0, 1000.0]",77.0,1067.04
