Combination,Capacitance,Total Volume
series:[4.7e-05],4.7e-05,8.63938e-05
series:[0.0001],0.0001,0.000108856
series:[0.00022],0.00022,0.000144513
series:[0.00033],0.00033,0.000188496
series:[0.00047],0.00046999999999999993,0.000251327
series:[0.00068],0.00068,0.000314159
series:[0.00082],0.00082,0.000392699
series:[0.001],0.001,0.000392699
"series:[4.7e-05, 0.0001]",3.197278911564626e-05,0.0001952498
"series:[4.7e-05, 0.00022]",3.8726591760299624e-05,0.00023090680000000002
"series:[4.7e-05, 0.00033]",4.114058355437665e-05,0.0002748898
"series:[4.7e-05, 0.00047]",4.2727272727272724e-05,0.00033772079999999996
"series:[4.7e-05, 0.00068]",4.39614855570839e-05,0.0004005528
"series:[4.7e-05, 0.00082]",4.4452133794694345e-05,0.0004790928
"series:[4.7e-05, 0.001]",4.489016236867239e-05,0.0004790928
"series:[0.0001, 0.00022]",6.875e-05,0.00025336900000000003
"series:[0.0001, 0.00033]",7.674418604651163e-05,0.00029735199999999997
"series:[0.0001, 0.00047]",8.245614035087719e-05,0.000360183
"series:[0.0001, 0.00068]",8.717948717948718e-05,0.000423015
"series:[0.0001, 0.00082]",8.913043478260869e-05,0.000501555
"series:[0.0001, 0.001]",9.09090909090909e-05,0.000501555
"series:[0.00022, 0.00033]",0.00013199999999999998,0.000333009
"series:[0.00022, 0.00047]",0.00014985507246376812,0.00039583999999999995
"series:[0.00022, 0.00068]",0.00016622222222222223,0.00045867200000000003
"series:[0.00022, 0.00082]",0.00017346153846153848,0.000537212
"series:[0.00022, 0.001]",0.00018032786885245904,0.000537212
"series:[0.00033, 0.00047]",0.000193875,0.000439823
"series:[0.00033, 0.00068]",0.00022217821782178216,0.000502655
"series:[0.00033, 0.00082]",0.00023530434782608695,0.000581195
"series:[0.00033, 0.001]",0.0002481203007518797,0.000581195
"series:[0.00047, 0.00068]",0.00027791304347826083,0.000565486
"series:[0.00047, 0.00082]",0.0002987596899224806,0.000644026
"series:[0.00047, 0.001]",0.00031972789115646254,0.000644026
"series:[0.00068, 0.00082]",0.00037173333333333333,0.000706858
"series:[0.00068, 0.001]",0.0004047619047619048,0.000706858
"series:[0.00082, 0.001]",0.00045054945054945057,0.000785398
"series:[4.7e-05, 0.0001, 0.00022]",2.7915766738660907e-05,0.0003397628
"series:[4.7e-05, 0.0001, 0.00033]",2.9148656267618864e-05,0.00038374579999999995
"series:[4.7e-05, 0.0001, 0.00047]",2.993630573248407e-05,0.00044657679999999996
"series:[4.7e-05, 0.0001, 0.00068]",3.053697687750812e-05,0.0005094088
"series:[4.7e-05, 0.0001, 0.00082]",3.0772916001277544e-05,0.0005879488
"series:[4.7e-05, 0.0001, 0.001]",3.098220171390903e-05,0.0005879488
"series:[4.7e-05, 0.00022, 0.00033]",3.465921787709497e-05,0.0004194028
"series:[4.7e-05, 0.00022, 0.00047]",3.5778546712802764e-05,0.0004822338
"series:[4.7e-05, 0.00022, 0.00068]",3.663991662324127e-05,0.0005450658
"series:[4.7e-05, 0.00022, 0.00082]",3.698011165387299e-05,0.0006236058
"series:[4.7e-05, 0.00022, 0.001]",3.72827576260186e-05,0.0006236058
"series:[4.7e-05, 0.00033, 0.00047]",3.7829268292682924e-05,0.0005262168
"series:[4.7e-05, 0.00033, 0.00068]",3.8793541030639634e-05,0.0005890488000000001
