No,L,C,fsw,t_d,d_cycle,average_current,delta_current,delta_current_percentage,average_voltage,delta_voltage,delta_voltage_percentage,P_ON_H,P_ON_L,P_COSS,P_D,P_G,P_total
1,3e-05,2.44e-05,20000,1.752e-07,0.2,6.501637532235131,13.213530136490345,203.2338787109807,8.786119688562662,3.427265949214414,39.00773117939493,0.04333007217077104,0.1933891551924127,0.0124416,0.01594721653906633,0.06799999999999999,1.6117963042356616
2,3e-05,2.44e-05,20000,1.752e-07,0.35,11.60489273167522,19.31661935187816,166.4523731370132,16.32435435546895,4.954524953861352,30.350510935836777,0.2564868264891812,0.4976849712674735,0.0124416,0.02846448089225298,0.06799999999999999,2.141766138982319
3,3e-05,2.44e-05,20000,2.628e-07,0.2,5.63437243108143,13.120137429188988,232.85889581620688,8.583084926489388,3.4039077856168323,39.65832582072659,0.031789324542016474,0.14598913053391413,0.0124416,0.0207299830484348,0.06799999999999999,1.5576382984577768
4,3e-05,2.44e-05,20000,2.628e-07,0.35,11.542868177699026,19.267588555785355,166.92201850672254,16.24357146647955,4.94236447683015,30.42658744740514,0.2524967456696014,0.4936349666297249,0.0124416,0.04246852059939025,0.06799999999999999,2.147730093232128
5,3e-05,2.44e-05,200000,1.752e-07,0.2,5.438985138988252,1.1024177461268039,20.268813353144647,7.880629511415868,0.028055370879866537,0.35600418518883004,0.027198405520398077,0.13846392679555822,0.124416,0.13340742748910384,0.6799999999999999,2.3821740201384713
6,3e-05,2.44e-05,200000,1.752e-07,0.35,10.417021271518708,1.7271418679917723,16.579997515354698,15.05432182454325,0.04408779383125783,0.29285805328926173,0.190587795892869,0.4170924642662611,0.124416,0.2555086977478109,0.6799999999999999,2.9462932182403523
7,3e-05,2.44e-05,200000,2.628e-07,0.2,4.852693466783206,1.0059714486337539,20.730166772734577,7.043669225574685,0.02529697411194043,0.3591448334923263,0.01935135857467354,0.11252099116766476,0.124416,0.1785402980298877,0.6799999999999999,2.393516908105637
8,3e-05,2.44e-05,200000,2.628e-07,0.35,9.831995166113254,1.6727501599343508,17.01333383177014,14.216976862687137,0.04243086885125713,0.29845212003276284,0.16033833113564971,0.38100319096460694,0.124416,0.3617387661516388,0.6799999999999999,2.9861845485853067
9,3e-05,0.001,20000,1.752e-07,0.2,6.022456967956725,20.201079924360684,335.42921156337337,9.34675180436452,1.0962072205108644,11.728215785070747,0.039550767099355184,0.16356116531363163,0.0124416,0.014771882451004253,0.06799999999999999,1.5770136751974027
10,3e-05,0.001,20000,1.752e-07,0.35,10.904815253670247,37.39450727008574,342.91738466178805,16.410862126502888,2.926895744963236,17.835112636991912,0.22767471993934563,0.4382492560740584,0.0124416,0.026747330854202382,0.06799999999999999,2.0518011672010177
