No,L,C,fsw,t_d,d_cycle,average_current,delta_current,delta_current_percentage,average_voltage,delta_voltage,delta_voltage_percentage,DCR,ESR,P_ON_H,P_ON_L,P_COSS,P_L_DCR,P_D,P_G,P_CAP_ESR,P_total
1,3e-05,2.44e-05,20000,1.752e-07,0.2,3.021606643236473,10.385012148195544,343.69173007483374,3.245545502613356,2.7061376371092014,83.3800553691262,2.703254400000000,0.045659204985380,0.003457087288608496,0.04767151026751591,0.0124416,24.681001126682595,0.0074113967745304205,0.06799999999999999,0.4103563111026139,25.230339032115864
2,3e-05,2.44e-05,20000,1.752e-07,0.2375,3.360347840990588,11.414771809207398,339.6901853423147,3.9101123121382626,3.089871144382239,79.02256758176158,2.703254400000000,0.045659204985380,0.005151153500072801,0.058083697129647796,0.0124416,30.524980035381237,0.008242261184381712,0.06799999999999999,0.49577151147510884,31.172670258670447
3,3e-05,2.44e-05,20000,1.752e-07,0.275,4.105897316614181,12.251242280659909,298.38160421319475,4.4123626295354805,3.425400488384154,77.63188966961152,2.703254400000000,0.045659204985380,0.008678289931801664,0.08572870960584371,0.0124416,45.57252444481032,0.010070944938191263,0.06799999999999999,0.5710936830409579,46.328537672327116
4,3e-05,2.44e-05,20000,1.752e-07,0.3125,4.243363803261126,12.917558462793805,304.41788782914057,5.0399982826285505,3.7178529559896893,73.76694886591683,2.703254400000000,0.045659204985380,0.010587604575984587,0.09024675907824507,0.0124416,48.67516736062435,0.010408122736638888,0.06799999999999999,0.6349038649160177,49.50175531193124
5,3e-05,2.44e-05,20000,1.752e-07,0.35,4.562087583099339,13.434977793230068,294.491886631049,5.720795201697687,3.9634858844265786,69.28207958310387,2.703254400000000,0.045659204985380,0.013890901368389582,0.10265990008047773,0.0124416,56.26186907860302,0.011189888423826056,0.06799999999999999,0.6867853224449109,57.15683669092063
6,3e-05,2.44e-05,20000,1.971e-07,0.2,3.0204991651934106,10.385009862130126,343.8176703308291,3.2458874984339086,2.7063485444281485,83.37776789041274,2.703254400000000,0.045659204985380,0.003454917592374404,0.04763620756645651,0.0124416,24.662912301171488,0.008334765396434697,0.06799999999999999,0.41035613043816105,25.213135922164913
7,3e-05,2.44e-05,20000,1.971e-07,0.2375,3.3589116547125886,11.414772436764467,339.8354470189599,3.9102433349091417,3.0902204101578485,79.02885179982418,2.703254400000000,0.045659204985380,0.005146923776830058,0.058033886246488676,0.0124416,30.498893337696508,0.009268580820013916,0.06799999999999999,0.495771565987793,31.14755589452763
8,3e-05,2.44e-05,20000,1.971e-07,0.275,3.8273928605520733,12.25116733724292,320.0917121289655,4.505507227751025,3.4208755792094374,75.92653626519663,2.703254400000000,0.045659204985380,0.007700103543764908,0.07433393866666299,0.0124416,39.59980099198659,0.010561307859407393,0.06799999999999999,0.5710866960627985,40.343924638119226
9,3e-05,2.44e-05,20000,1.971e-07,0.3125,4.243893383323843,12.917558350175721,304.3798979713909,5.040447918398586,3.717360960913491,73.75060750740866,2.703254400000000,0.045659204985380,0.010591192241009014,0.09026834163350239,0.0124416,48.68731763003963,0.011710599401943812,0.06799999999999999,0.6349038538455578,49.515233217161644
10,3e-05,2.44e-05,20000,1.971e-07,0.35,4.562364775642917,13.434977694016283,294.47399220995123,5.721080993250901,3.963683222514702,69.28206797265443,2.703254400000000,0.045659204985380,0.013893283469344792,0.10267168166840776,0.0124416,56.26870623115646,0.012589389361909063,0.06799999999999999,0.686785312301452,57.16508749795757
11,3e-05,2.44e-05,20000,2.19e-07,0.2,3.019394939534273,10.385007571959555,343.94333235391167,3.2462280835609163,2.70653278308649,83.37469559802425,2.703254400000000,0.045659204985380,0.0034527542291106104,0.04760102225584638,0.0124416,24.644883199924376,0.009257464884612081,0.06799999999999999,0.4103559494493237,25.19599199074327
12,3e-05,2.44e-05,20000,2.19e-07,0.2375,3.3574795082657403,11.414773051330148,339.9804235060333,3.9103728612281428,3.0905322942058384,79.03420987928976,2.703254400000000,0.045659204985380,0.005142706048248525,0.05798423838292788,0.0124416,30.472891123595193,0.01029403217234276,0.06799999999999999,0.49577161937198433,31.1225253195707
