No,L,C,fsw,delta_current,delta_voltage,Pl_s1,Pl_s2,Pl_C,Pl_L_Cu
1,3e-05,3e-05,20000.0,4.590348642657058,22.680866894047572,2.5727074420928684,2.5727074420928684,1.5819122871435367,2.3244217067618997
2,3e-05,3e-05,29473.684210526313,4.173315066606831,19.441520697440957,1.9789759711750268,1.9789759711750268,0.5375860903195137,1.1010299411829958
3,3e-05,3e-05,38947.368421052626,3.112404414462811,18.70800823680636,2.0950874225015483,2.0950874225015483,0.33986836137821114,0.8231232835591195
4,3e-05,3e-05,48421.05263157895,2.503882904112097,18.50673807204459,2.1898882308963605,2.1898882308963605,0.24525962358365527,0.6887067192576573
5,3e-05,3e-05,57894.73684210526,2.021091967201063,18.372542357249113,2.371169983272398,2.371169983272398,0.204356296908252,0.6490762179887348
6,3e-05,3e-05,67368.42105263157,1.7485776609858765,18.280556361011964,2.458478975543134,2.458478975543134,0.16696561996464204,0.5987549703005999
7,3e-05,3e-05,76842.1052631579,1.5195107423146634,18.19262134040474,2.5854474498148945,2.5854474498148945,0.14496369550056895,0.5789284227154746
8,3e-05,3e-05,86315.7894736842,1.3345749756382368,18.21066646716043,2.727889453003787,2.727889453003787,0.130043528590639,0.5729515666537706
9,3e-05,3e-05,95789.47368421052,1.2156024092638227,18.227461841707225,2.8052824086513795,2.8052824086513795,0.1134395789166915,0.5486830664601876
10,3e-05,3e-05,105263.15789473684,1.1036133274402424,18.14884980997233,2.919081755928734,2.919081755928734,0.10276751403651452,0.5410296442101153
11,3e-05,3e-05,114736.84210526315,1.0021903090023803,18.206780881888214,3.0576992077867056,3.0576992077867056,0.09552554063346962,0.5437569946254908
12,3e-05,3e-05,124210.52631578947,0.93737708852745,18.2446327918208,3.1273187971392193,3.1273187971392193,0.08573006735602534,0.5257429733095996
13,3e-05,3e-05,133684.2105263158,0.8676555566178489,18.177567236975168,3.2473724831488404,3.2473724831488404,0.07995317019362046,0.5251224603633721
14,3e-05,3e-05,143157.89473684208,0.8107322964574023,18.180009681975378,3.353718026321286,3.353718026321286,0.07437615271772613,0.521135482892385
