Combination,Cap(uF),Total_Volume(mm^2)
47.0 and 47.0 + 100.0 + 330.0 + 470.0,74.446469651,2534.157860037
47.0 and 47.0 + 100.0 + 330.0 + 680.0,74.950537714,3099.644537683
47.0 and 47.0 + 100.0 + 330.0 + 820.0,75.148072735,3492.343619381
47.0 and 47.0 + 100.0 + 330.0 + 1000.0,75.323076642,3983.217471505
47.0 and 47.0 + 100.0 + 470.0 + 680.0,75.673963754,3350.97194997
47.0 and 47.0 + 100.0 + 470.0 + 820.0,75.881894484,3743.671031669
47.0 and 47.0 + 100.0 + 470.0 + 1000.0,76.066171923,4234.544883792
47.0 and 47.0 + 100.0 + 680.0 + 820.0,76.44060249,4309.157709315
47.0 and 47.0 + 100.0 + 680.0 + 1000.0,76.632102062,4800.031561438
47.0 and 47.0 + 100.0 + 820.0 + 1000.0,76.854214758,5192.730643137
47.0 and 47.0 + 220.0 + 330.0 + 470.0,79.278876171,2769.313924139
47.0 and 47.0 + 220.0 + 330.0 + 680.0,79.978330884,3334.800601786
47.0 and 47.0 + 220.0 + 330.0 + 820.0,80.253673587,3727.499683484
47.0 and 47.0 + 220.0 + 330.0 + 1000.0,80.498196583,4218.373535608
47.0 and 47.0 + 220.0 + 470.0 + 680.0,80.990138258,3586.128014073
47.0 and 47.0 + 220.0 + 470.0 + 820.0,81.282710658,3978.827095771
47.0 and 47.0 + 220.0 + 470.0 + 1000.0,81.54266052,4469.700947895
47.0 and 47.0 + 220.0 + 680.0 + 820.0,82.072766337,4544.313773418
47.0 and 47.0 + 220.0 + 680.0 + 1000.0,82.344883055,5035.187625541
47.0 and 47.0 + 220.0 + 820.0 + 1000.0,82.661350915,5427.88670724
47.0 and 47.0 + 330.0 + 470.0 + 680.0,82.835683463,3762.057202674
47.0 and 47.0 + 330.0 + 470.0 + 820.0,83.161041767,4154.756284373
47.0 and 47.0 + 330.0 + 470.0 + 1000.0,83.450377194,4645.630136496
47.0 and 47.0 + 330.0 + 680.0 + 820.0,84.041153811,4720.242962019
47.0 and 47.0 + 330.0 + 680.0 + 1000.0,84.34480385,5211.116814142
47.0 and 47.0 + 330.0 + 820.0 + 1000.0,84.698277431,5603.815895841
47.0 and 47.0 + 470.0 + 680.0 + 820.0,85.322463662,4971.570374306
47.0 and 47.0 + 470.0 + 680.0 + 1000.0,85.647576666,5462.444226429
47.0 and 47.0 + 470.0 + 820.0 + 1000.0,86.02626729,5855.143308128
47.0 and 47.0 + 680.0 + 820.0 + 1000.0,87.0533572,6420.629985774
47.0 and 100.0 + 220.0 + 330.0 + 470.0,97.752617801,2896.226413363
47.0 and 100.0 + 220.0 + 330.0 + 680.0,99.503509593,3461.713091009
47.0 and 100.0 + 220.0 + 330.0 + 820.0,100.204876131,3854.412172708
47.0 and 100.0 + 220.0 + 330.0 + 1000.0,100.83360522,4345.286024831
47.0 and 100.0 + 220.0 + 470.0 + 680.0,102.115542596,3713.040503296
47.0 and 100.0 + 220.0 + 470.0 + 820.0,102.888944551,4105.739584995
47.0 and 100.0 + 220.0 + 470.0 + 1000.0,103.583123564,4596.613437118
