Combination,Cap(uF),Total_Volume(mm^2)
47.0 and 47.0 + 470.0 + 2700.0,89.061650646,6463.826884761
47.0 and 47.0 + 680.0 + 820.0,88.724566152,3966.260725157
47.0 and 47.0 + 680.0 + 1000.0,89.11025614,4457.134577281
47.0 and 47.0 + 680.0 + 1500.0,89.709762486,5070.726892435
47.0 and 47.0 + 680.0 + 1800.0,89.913409321,5684.319207589
47.0 and 47.0 + 680.0 + 2200.0,90.100235386,6297.911522743
47.0 and 47.0 + 680.0 + 2700.0,90.257170929,7029.313562407
47.0 and 47.0 + 820.0 + 1000.0,89.560240299,4849.833658979
47.0 and 47.0 + 820.0 + 1500.0,90.172720755,5463.425974133
47.0 and 47.0 + 820.0 + 1800.0,90.380817189,6077.018289288
47.0 and 47.0 + 820.0 + 2200.0,90.571744247,6690.610604442
47.0 and 47.0 + 820.0 + 2700.0,90.732138654,7422.012644106
47.0 and 47.0 + 1000.0 + 1500.0,90.585780526,5954.299826257
47.0 and 47.0 + 1000.0 + 1800.0,90.797887761,6567.892141411
47.0 and 47.0 + 1000.0 + 2200.0,90.992511913,7181.484456565
47.0 and 47.0 + 1000.0 + 2700.0,91.156024914,7912.886496229
47.0 and 47.0 + 1500.0 + 1800.0,91.446779447,7181.484456565
47.0 and 47.0 + 1500.0 + 2200.0,91.64722646,7795.07677172
47.0 and 47.0 + 1500.0 + 2700.0,91.815651928,8526.478811384
47.0 and 47.0 + 1800.0 + 2200.0,91.869816779,8408.669086874
47.0 and 47.0 + 1800.0 + 2700.0,92.039929015,9140.071126538
47.0 and 47.0 + 2200.0 + 2700.0,92.245774111,9753.663441692
47.0 and 100.0 + 220.0 + 330.0,103.896551724,1890.916764214
47.0 and 100.0 + 220.0 + 470.0,106.976798144,2142.244176501
47.0 and 100.0 + 220.0 + 680.0,109.437395659,2707.730854147
47.0 and 100.0 + 220.0 + 820.0,110.431786217,3100.429935846
47.0 and 100.0 + 220.0 + 1000.0,111.32748538,3591.30378797
47.0 and 100.0 + 220.0 + 1500.0,112.737051793,4204.896103124
47.0 and 100.0 + 220.0 + 1800.0,113.220735786,4818.488418278
47.0 and 100.0 + 220.0 + 2200.0,113.666666667,5432.080733432
47.0 and 100.0 + 220.0 + 2700.0,114.042889391,6163.482773096
47.0 and 100.0 + 330.0 + 470.0,112.97192684,2318.173365102
47.0 and 100.0 + 330.0 + 680.0,115.961278427,2883.660042748
47.0 and 100.0 + 330.0 + 820.0,117.176348548,3276.359124447
47.0 and 100.0 + 330.0 + 1000.0,118.274298056,3767.232976571
47.0 and 100.0 + 330.0 + 1500.0,120.008849558,4380.825291725
47.0 and 100.0 + 330.0 + 1800.0,120.605947955,4994.417606879
47.0 and 100.0 + 330.0 + 2200.0,121.157303371,5608.009922033
47.0 and 100.0 + 330.0 + 2700.0,121.623115578,6339.411961697
47.0 and 100.0 + 470.0 + 680.0,120.538886332,3134.987455036
47.0 and 100.0 + 470.0 + 820.0,121.922239502,3527.686536734
47.0 and 100.0 + 470.0 + 1000.0,123.175040519,4018.560388858
47.0 and 100.0 + 470.0 + 1500.0,125.159645233,4632.152704012
47.0 and 100.0 + 470.0 + 1800.0,125.844361603,5245.745019166
47.0 and 100.0 + 470.0 + 2200.0,126.477325135,5859.337334321
47.0 and 100.0 + 470.0 + 2700.0,127.01261034,6590.739373984
47.0 and 100.0 + 680.0 + 820.0,125.801582815,4093.173214381
47.0 and 100.0 + 680.0 + 1000.0,127.188679245,4584.047066504
47.0 and 100.0 + 680.0 + 1500.0,129.39095315,5197.639381658
47.0 and 100.0 + 680.0 + 1800.0,130.152173913,5811.231696812
47.0 and 100.0 + 680.0 + 2200.0,130.856502242,6424.824011967
47.0 and 100.0 + 680.0 + 2700.0,131.452621895,7156.226051631
47.0 and 100.0 + 820.0 + 1000.0,128.836327345,4976.746148203
47.0 and 100.0 + 820.0 + 1500.0,131.131326949,5590.338463357
47.0 and 100.0 + 820.0 + 1800.0,131.925201381,6203.930778511
47.0 and 100.0 + 820.0 + 2200.0,132.660018993,6817.523093665
47.0 and 100.0 + 820.0 + 2700.0,133.282151208,7548.925133329
47.0 and 100.0 + 1000.0 + 1500.0,132.714285714,6081.21231548
47.0 and 100.0 + 1000.0 + 1800.0,133.538461538,6694.804630635
47.0 and 100.0 + 1000.0 + 2200.0,134.301587302,7308.396945789
47.0 and 100.0 + 1000.0 + 2700.0,134.947882736,8039.798985453
