Combination,Cap(uF),Total_Volume(mm^2)
47.0 + 220.0 + 330.0,34.659217877094974,1548.0197800563706
47.0 + 220.0 + 470.0,35.77854671280277,1799.347192343554
47.0 + 220.0 + 680.0,36.63991662324127,2364.8338699897167
47.0 + 220.0 + 820.0,36.980111653872996,2757.532951688441
47.0 + 220.0 + 1000.0,37.28275762601861,3248.406803811846
47.0 + 330.0 + 470.0,37.82926829268293,1975.2763809445823
47.0 + 330.0 + 680.0,38.79354103063965,2540.7630585907455
47.0 + 330.0 + 820.0,39.17511165870938,2933.462140289469
47.0 + 330.0 + 1000.0,39.514916817405926,3424.3359924128745
47.0 + 470.0 + 680.0,40.20125786163522,2792.090470877929
47.0 + 470.0 + 820.0,40.611169652265545,3184.7895525766526
47.0 + 470.0 + 1000.0,40.976460331299045,3675.663404700058
47.0 + 680.0 + 820.0,41.72456615188664,3750.2762302228157
47.0 + 680.0 + 1000.0,42.11025613998103,4241.150082346221
47.0 + 820.0 + 1000.0,42.56024029860635,4633.849164044945
100.0 + 220.0 + 330.0,56.896551724137936,1674.9322692797641
100.0 + 220.0 + 470.0,59.97679814385151,1926.2596815669476
100.0 + 220.0 + 680.0,62.4373956594324,2491.7463592131107
100.0 + 220.0 + 820.0,63.431786216596336,2884.4454409118343
100.0 + 220.0 + 1000.0,64.32748538011695,3375.3192930352398
100.0 + 330.0 + 470.0,65.9719268396427,2102.1888701679763
100.0 + 330.0 + 680.0,68.96127842655193,2667.675547814139
100.0 + 330.0 + 820.0,70.17634854771784,3060.374629512863
100.0 + 330.0 + 1000.0,71.2742980561555,3551.2484816362685
100.0 + 470.0 + 680.0,73.53888633225955,2919.0029601013225
100.0 + 470.0 + 820.0,74.92223950233281,3311.7020418000466
100.0 + 470.0 + 1000.0,76.17504051863858,3802.575893923452
100.0 + 680.0 + 820.0,78.8015828151498,3877.1887194462092
100.0 + 680.0 + 1000.0,80.18867924528301,4368.062571569615
100.0 + 820.0 + 1000.0,81.83632734530937,4760.761653268339
220.0 + 330.0 + 470.0,103.05647840531562,2337.3449342708063
220.0 + 330.0 + 680.0,110.54187192118226,2902.831611916969
220.0 + 330.0 + 820.0,113.69747899159664,3295.530693615693
