L,C,fsw,delta_current,delta_voltage,Pl_s1,Pl_s2,Pl_C,Pl_L_Cu
3e-05,3e-05,20000.0,4.590348642657058,22.68086689404757,2.5727074420928684,2.5727074420928684,1.5819122871435367,2.3244217067619
3e-05,3e-05,29473.684210526317,4.173315066606831,19.44152069744096,1.9789759711750268,1.9789759711750268,0.5375860903195137,1.1010299411829958
3e-05,3e-05,38947.36842105263,3.112404414462811,18.70800823680636,2.0950874225015483,2.0950874225015483,0.3398683613782111,0.8231232835591195
3e-05,3e-05,48421.05263157895,2.503882904112097,18.50673807204459,2.1898882308963605,2.1898882308963605,0.2452596235836552,0.6887067192576573
3e-05,3e-05,57894.73684210526,2.021091967201063,18.372542357249117,2.371169983272398,2.371169983272398,0.204356296908252,0.6490762179887348
3e-05,3e-05,67368.42105263157,1.7485776609858763,18.280556361011964,2.458478975543134,2.458478975543134,0.166965619964642,0.5987549703005999
3e-05,3e-05,76842.1052631579,1.5195107423146634,18.19262134040474,2.5854474498148945,2.5854474498148945,0.1449636955005689,0.5789284227154746
3e-05,3e-05,86315.7894736842,1.3345749756382368,18.21066646716043,2.727889453003787,2.727889453003787,0.130043528590639,0.5729515666537706
3e-05,3e-05,95789.47368421052,1.215602409263823,18.227461841707225,2.8052824086513795,2.8052824086513795,0.1134395789166915,0.5486830664601876
3e-05,3e-05,105263.15789473684,1.1036133274402424,18.14884980997233,2.919081755928734,2.919081755928734,0.1027675140365145,0.5410296442101153
3e-05,3e-05,114736.84210526316,1.0021903090023805,18.20678088188821,3.0576992077867056,3.0576992077867056,0.0955255406334696,0.5437569946254908
3e-05,3e-05,124210.52631578948,0.93737708852745,18.2446327918208,3.12731879713922,3.12731879713922,0.0857300673560253,0.5257429733095996
3e-05,3e-05,133684.2105263158,0.8676555566178489,18.177567236975168,3.2473724831488404,3.2473724831488404,0.0799531701936204,0.5251224603633721
3e-05,3e-05,143157.89473684208,0.8107322964574023,18.180009681975378,3.353718026321286,3.353718026321286,0.0743761527177261,0.521135482892385
3e-05,3e-05,152631.5789473684,0.7638019630352509,18.18132817007976,3.4468420618789644,3.4468420618789644,0.0690205393483271,0.514092172559187
3e-05,3e-05,162105.26315789472,0.7218581631964524,18.2094774269694,3.5418031877125946,3.5418031877125946,0.0644219472677285,0.5083442875361865
3e-05,3e-05,171578.94736842104,0.6850794558290291,18.306136073647217,3.633302073506941,3.633302073506941,0.0602666881911158,0.5022910026431695
3e-05,3e-05,181052.63157894736,0.6513867759073289,18.21886991155362,3.728510164402637,3.728510164402637,0.0567028426580108,0.4977649230512015
3e-05,3e-05,190526.31578947368,0.6178763177800676,18.17146419286248,3.842821806525211,3.842821806525211,0.0540527738212429,0.4984564123378296
3e-05,3e-05,200000.0,0.5927606746574463,18.1706786607332,3.922829513524428,3.922829513524428,0.0507730869341139,0.4908771517544086
3e-05,3.894736842105264e-05,20000.0,6.260498183862623,17.480383942144346,1.887074251449418,1.887074251449418,0.903355320031896,1.93588031898088
3e-05,3.894736842105264e-05,29473.684210526317,4.176808197995191,15.371085020589623,1.9883541406560563,1.9883541406560563,0.4164284376441967,1.1125921103398375
3e-05,3.894736842105264e-05,38947.36842105263,3.151884029948672,14.73175685158438,2.083764791963554,2.083764791963554,0.2597513978861441,0.8235358250116634
3e-05,3.894736842105264e-05,48421.05263157895,2.522891087064672,14.572281522843772,2.1904253722757403,2.1904253722757403,0.1889903406665068,0.6926483467864641
3e-05,3.894736842105264e-05,57894.73684210526,2.1186447721589974,14.477803003526986,2.2802065203748887,2.2802065203748887,0.1472279945164599,0.6153014320661131
3e-05,3.894736842105264e-05,67368.42105263157,1.7934612446324742,14.452685394335289,2.416336525701028,2.416336525701028,0.1247142951867316,0.5845104436208046
3e-05,3.894736842105264e-05,76842.1052631579,1.5734470281206645,14.402838126812552,2.516818115648721,2.516818115648721,0.1063073021748731,0.5549976000558062
3e-05,3.894736842105264e-05,86315.7894736842,1.376961688156095,14.349120494277123,2.6647353978309822,2.6647353978309822,0.095889649898264,0.551289243916114
3e-05,3.894736842105264e-05,95789.47368421052,1.2369454780668458,14.333151269244388,2.778077614484207,2.778077614484207,0.0857868239458693,0.5401825918412222
3e-05,3.894736842105264e-05,105263.15789473684,1.1288283330593647,14.338871931156552,2.8752567395409327,2.8752567395409327,0.0769093680378462,0.5271417298043011
3e-05,3.894736842105264e-05,114736.84210526316,1.039142129719637,14.33969350188348,2.970453034965817,2.970453034965817,0.0696012001912602,0.5161459571937129
3e-05,3.894736842105264e-05,124210.52631578948,0.946928355722411,14.294998786436569,3.1176134000775404,3.1176134000775404,0.0656399625454576,0.5232149843688046
3e-05,3.894736842105264e-05,133684.2105263158,0.8797499069788377,14.33878148377488,3.2245492925234736,3.2245492925234736,0.0607480763650983,0.5186250988371803
3e-05,3.894736842105264e-05,143157.89473684208,0.8251070121984068,14.334219337404331,3.3169089582201066,3.3169089582201066,0.0560709887349726,0.5107057419156174
3e-05,3.894736842105264e-05,152631.5789473684,0.778480713212065,14.349100505527712,3.4032237171687107,3.4032237171687107,0.0518577821658093,0.50206489838282
3e-05,3.894736842105264e-05,162105.26315789472,0.7275141138904426,14.280865624247127,3.5355658343545326,3.5355658343545326,0.0494512327518967,0.5068870501508526
3e-05,3.894736842105264e-05,171578.94736842104,0.6872587722074421,14.281146711603585,3.642900856486518,3.642900856486518,0.0466627496411358,0.5050696146521043
3e-05,3.894736842105264e-05,181052.63157894736,0.6569531937818595,14.299910138128366,3.717601467421371,3.717601467421371,0.0434255387336412,0.495146580780579
3e-05,3.894736842105264e-05,190526.31578947368,0.6259208564367502,14.299342507987136,3.8137803044740783,3.8137803044740783,0.0410176610166862,0.4913476139833044
3e-05,3.894736842105264e-05,200000.0,0.5981926581149681,14.372335511478676,3.9071662136841607,3.9071662136841607,0.0388015840904703,0.4872200288165894
3e-05,4.789473684210526e-05,20000.0,4.671926739657936,14.57307651518199,2.530114040683797,2.530114040683797,0.9726523640099975,2.299456654040598
3e-05,4.789473684210526e-05,29473.684210526317,3.448158195247593,12.580403980369706,2.4173250266366897,2.4173250266366897,0.435367083021711,1.33416253605672
3e-05,4.789473684210526e-05,38947.36842105263,2.6344144830459046,12.03089267976949,2.5048106416569613,2.5048106416569613,0.2789330206526366,1.0275260908142998
3e-05,4.789473684210526e-05,48421.05263157895,2.570822034662053,11.998782207496417,2.1605664720012534,2.1605664720012534,0.1503552878576401,0.6828521363391411
3e-05,4.789473684210526e-05,57894.73684210526,2.1114225529477686,11.929652995787668,2.3000946952825325,2.3000946952825325,0.1215064321896134,0.6249216593264697
3e-05,4.789473684210526e-05,67368.42105263157,1.837452180096957,11.891742945774398,2.371067924011515,2.371067924011515,0.0980752590066988,0.5687225478656721
3e-05,4.789473684210526e-05,76842.1052631579,1.5919680997874857,11.858664490347843,2.500772911193445,2.500772911193445,0.0854467054468066,0.5501628996356728
3e-05,4.789473684210526e-05,86315.7894736842,1.4018837249573606,11.828500784805067,2.6311543939584627,2.6311543939584627,0.0761591558425835,0.5401607802374128
3e-05,4.789473684210526e-05,95789.47368421052,1.255648667521288,11.79132148888791,2.750924345993864,2.750924345993864,0.0684809023588931,0.5314996380453729
3e-05,4.789473684210526e-05,105263.15789473684,1.160202922866018,11.812405865892195,2.811799427637747,2.811799427637747,0.0599421297861937,0.5068578004917019
3e-05,4.789473684210526e-05,114736.84210526316,1.054521716009397,11.839812788567665,2.9417790020136616,2.9417790020136616,0.0555557287339863,0.5074754791776673
3e-05,4.789473684210526e-05,124210.52631578948,0.9736393438063834,11.794533084654288,3.046898057515893,3.046898057515893,0.0510652001904419,0.5017363980938083
3e-05,4.789473684210526e-05,133684.2105263158,0.8998649152462945,11.799863636356548,3.1675566852309,3.1675566852309,0.047719901801589,0.5018565764056291
3e-05,4.789473684210526e-05,143157.89473684208,0.836492610418696,11.754080514008852,3.2869916449835648,3.2869916449835648,0.0447987325504081,0.50228276160886
3e-05,4.789473684210526e-05,152631.5789473684,0.7832260211197344,11.825030352284422,3.398000268291017,3.398000268291017,0.0420437241413289,0.5008191356753281
3e-05,4.789473684210526e-05,162105.26315789472,0.7401275321412143,11.819830804015035,3.4907042268974986,3.4907042268974986,0.039219718346478,0.494835260335002
3e-05,4.789473684210526e-05,171578.94736842104,0.7018422632861933,11.819340623192495,3.58254485791199,3.58254485791199,0.0367212766488745,0.4892655469132932
3e-05,4.789473684210526e-05,181052.63157894736,0.6625703520922612,11.76600758446792,3.701453522954061,3.701453522954061,0.0350120629317655,0.4911470976737334
3e-05,4.789473684210526e-05,190526.31578947368,0.6264267756303874,11.751824684676905,3.8261133516598393,3.8261133516598393,0.0335678294109651,0.4945558887040702
3e-05,4.789473684210526e-05,200000.0,0.5988881182709934,11.761341378672224,3.917930368765944,3.917930368765944,0.0317246248044867,0.4899412913382361
3e-05,5.68421052631579e-05,20000.0,5.047881982718942,12.355631615330472,2.342124307504216,2.342124307504216,0.7548689080698621,2.183308960366076
3e-05,5.68421052631579e-05,29473.684210526317,3.390646501871204,10.76720070137167,2.464655265911037,2.464655265911037,0.3768022831416988,1.3640850899090589
3e-05,5.68421052631579e-05,38947.36842105263,2.61523954630027,10.295586415359908,2.5314298486871216,2.5314298486871216,0.2389855096901985,1.043903941880843
3e-05,5.68421052631579e-05,48421.05263157895,2.582011491580396,10.237613274975535,2.1589627399699705,2.1589627399699705,0.1265386767764368,0.6839513547104485
3e-05,5.68421052631579e-05,57894.73684210526,2.1362284006203787,10.152344988464227,2.2819030144235577,2.2819030144235577,0.1010060531079848,0.6190133948614992
3e-05,5.68421052631579e-05,67368.42105263157,1.8287093154888845,10.097659092181884,2.391451950878462,2.391451950878462,0.0838984216473824,0.5773371644910065
3e-05,5.68421052631579e-05,76842.1052631579,1.6163145582469445,10.058912340129606,2.4724875043780647,2.4724875043780647,0.0705230550787668,0.5406780354415404
3e-05,5.68421052631579e-05,86315.7894736842,1.4228090026603786,10.09020370415096,2.602309471881279,2.602309471881279,0.0628715432052632,0.5306186644239487
3e-05,5.68421052631579e-05,95789.47368421052,1.287306740731775,10.057338321157935,2.693378501631872,2.693378501631872,0.0554511458790928,0.5125167642433708
3e-05,5.68421052631579e-05,105263.15789473684,1.1672526805856722,10.03988497093536,2.805199933239232,2.805199933239232,0.0502818049908446,0.50510155175756
3e-05,5.68421052631579e-05,114736.84210526316,1.0672722133585446,10.030583735810414,2.917282184642255,2.917282184642255,0.0460667649100903,0.500088661724058
3e-05,5.68421052631579e-05,124210.52631578948,0.9907490941557396,10.038624443007238,3.005117446576541,3.005117446576541,0.0418970147430832,0.4893375411682519
3e-05,5.68421052631579e-05,133684.2105263158,0.917466734825297,10.064729201111014,3.117836852602929,3.117836852602929,0.0389943995938468,0.4874395484064774
3e-05,5.68421052631579e-05,143157.89473684208,0.8540981534670162,10.029472852005505,3.2305335997096405,3.2305335997096405,0.0364956407020146,0.4863134079944504
3e-05,5.68421052631579e-05,152631.5789473684,0.796606116982021,10.033531286436196,3.3523672498461305,3.3523672498461305,0.0345026866666372,0.4882749911264559
3e-05,5.68421052631579e-05,162105.26315789472,0.745815177310996,9.988877755360967,3.4757099587017395,3.4757099587017395,0.0327688709868317,0.4909237128178269
3e-05,5.68421052631579e-05,171578.94736842104,0.7053220634238039,10.026832561845223,3.5765888533283,3.5765888533283,0.0308402153840242,0.4878312224455575
3e-05,5.68421052631579e-05,181052.63157894736,0.6708337213958967,10.025383420404776,3.6676653767597536,3.6676653767597536,0.0289737766292301,0.4826484521285011
3e-05,5.68421052631579e-05,190526.31578947368,0.6358271027560204,10.007801042210376,3.781467773373472,3.781467773373472,0.0276376456064262,0.4835441722639676
3e-05,5.68421052631579e-05,200000.0,0.606946036601624,10.010196168903652,3.877888288246473,3.877888288246473,0.0261948076702726,0.4803552225406662
3e-05,6.578947368421052e-05,20000.0,5.050259352383771,10.758006254854395,2.341572075727717,2.341572075727717,0.6520489258935992,2.1836772810511422
3e-05,6.578947368421052e-05,29473.684210526317,4.241035425727968,9.439026655203538,1.974030822017668,1.974030822017668,0.2444108534453102,1.1167556106916912
3e-05,6.578947368421052e-05,38947.36842105263,3.189536201892776,9.037644374392483,2.080705441599524,2.080705441599524,0.1534477820502346,0.8300577519050288
3e-05,6.578947368421052e-05,48421.05263157895,2.280087214501736,9.07137064308976,2.466619613003333,2.466619613003333,0.1358777744069771,0.8225605595738738
