L,C,fsw,delta_current_percentage,delta_voltage_percentage,switching_loss,capacitor_loss,inductor_copper_loss
3e-05,20000.0,0.079576,4.590348642657058,22.68086689404757,5.145414884185737,1.5819122871435367,2.3244217067619
3e-05,40000.0,0.079576,3.0072737156896285,18.624827213420584,4.2432890988269705,0.3296182553249615,0.8102688117032015
3e-05,60000.0,0.079576,1.970801367587557,18.374153517548702,4.738157606907115,0.1916824454767012,0.627383919102943
3e-05,80000.0,0.079576,1.4504929910701714,18.243136161916134,5.273964736693952,0.139923155418654,0.5777732502237904
3e-05,100000.0,0.079576,1.1623796970951927,18.16653956711326,5.715582561476841,0.1085542158278223,0.5456048515985412
3e-05,120000.0,0.079576,0.9624479329490082,18.21571698913786,6.209027878394511,0.0903127527938965,0.5360570987744999
3e-05,140000.0,0.079576,0.8275623053526739,18.177115011905077,6.646865374301967,0.0763756621389103,0.5239146409082174
3e-05,160000.0,0.079576,0.7309183722697533,18.215148219469267,7.039910450297828,0.0653648926917471,0.5093576995650276
3e-05,180000.0,0.079576,0.6549253280646559,18.22304830009965,7.436254790129448,0.0570844919120844,0.4982961629957551
3e-05,200000.0,0.079576,0.5927606746574463,18.1706786607332,7.845659027048855,0.0507730869341139,0.4908771517544086
4.888888888888889e-05,20000.0,0.079576,4.7476518728032495,14.28435982666768,4.979527760725289,0.9362428328347988,2.273651995003372
4.888888888888889e-05,40000.0,0.079576,2.528763517775705,11.802092717109296,5.109545071847143,0.26924665413611,1.0269699941352464
4.888888888888889e-05,60000.0,0.079576,2.044279413796182,11.706461389928494,4.631376323787064,0.1130866774858502,0.6105578678180258
4.888888888888889e-05,80000.0,0.079576,1.5304903321821637,11.632843876781475,5.067324893193371,0.0797783274041536,0.5424031425542409
4.888888888888889e-05,100000.0,0.079576,1.209334082661258,11.547143358398326,5.566577345753523,0.0633607981607726,0.5218445598016014
4.888888888888889e-05,120000.0,0.079576,1.0125034236903936,11.61519243847104,5.976450786828,0.0514905934791248,0.5004483558570125
4.888888888888889e-05,140000.0,0.079576,0.8593690740890699,11.57575869679632,6.476592734732814,0.044559467612654,0.4995202508225068
4.888888888888889e-05,160000.0,0.079576,0.7523352702529486,11.593395884624172,6.914862738579547,0.0387273815147911,0.4926687474426731
4.888888888888889e-05,180000.0,0.079576,0.6680417647584201,11.551434940530614,7.3648561364139375,0.0343708912578704,0.4894557913519686
4.888888888888889e-05,200000.0,0.079576,0.5989746741228142,11.53224520018274,7.8376902388876175,0.031093821751687,0.4901742113466649
6.777777777777778e-05,20000.0,0.079576,4.820474658215482,10.463822901307688,4.906618600476937,0.6646507317620289,2.2520917593175747
6.777777777777778e-05,40000.0,0.079576,2.724383578230707,8.700403978888566,4.770768877350783,0.174250357601381,0.9453193040656108
6.777777777777778e-05,60000.0,0.079576,2.066607314934908,8.60213513173347,4.611769109604501,0.0809779568859219,0.60883370550624
6.777777777777778e-05,80000.0,0.079576,1.5575530159166222,8.506537628159807,5.012913786191572,0.0564187239442202,0.5339104045842968
6.777777777777778e-05,100000.0,0.079576,1.2464611514961337,8.499617379932031,5.436923142002454,0.0437122007837046,0.5011900647052504
6.777777777777778e-05,120000.0,0.079576,1.0319780770719305,8.49904234022827,5.901960404741824,0.0362560290964199,0.4895428246428454
6.777777777777778e-05,140000.0,0.079576,0.8821536373526742,8.51773305510203,6.349377838829206,0.0309259545255676,0.4815850198920204
6.777777777777778e-05,160000.0,0.079576,0.766843697049855,8.512528978229966,6.825810481515152,0.0272350396752562,0.4809029347148805
6.777777777777778e-05,180000.0,0.079576,0.678448522723674,8.475841686267474,7.294996897935224,0.024332000695338,0.4807550255210015
6.777777777777778e-05,200000.0,0.079576,0.6125111243243335,8.513159492966004,7.708445069369943,0.021704814236453,0.4747705023135397
8.666666666666667e-05,20000.0,0.079576,10.874583726710256,8.143524875887694,2.1759096381910883,0.2958495934567975,1.6372093027448331
8.666666666666667e-05,40000.0,0.079576,2.5908275756274035,6.891217755492882,5.033867926658416,0.1483028479852114,1.0139924309985933
8.666666666666667e-05,60000.0,0.079576,1.9543155386264663,6.696091827185821,4.896426453891518,0.0702520036735261,0.6672675377833842
8.666666666666667e-05,80000.0,0.079576,1.4274808671426136,6.652301033151831,5.492786945731408,0.0522185512276933,0.6237698244353128
8.666666666666667e-05,100000.0,0.079576,1.1559872049527689,6.635326684201528,5.88762094553214,0.0397547724234306,0.5783018137427359
8.666666666666667e-05,120000.0,0.079576,1.0445976320484651,6.750217849262703,5.855823779626071,0.0279298871948522,0.482885684358138
8.666666666666667e-05,140000.0,0.079576,0.8937121025583152,6.734777414536418,6.294355889608191,0.023780451887141,0.474034865438139
8.666666666666667e-05,160000.0,0.079576,0.7745901806948635,6.730884119698271,6.786778074244895,0.0210616699489409,0.4758696823521407
8.666666666666667e-05,180000.0,0.079576,0.6891417977510597,6.728132215285522,7.212802874945339,0.018609893204693,0.4705341477862166
8.666666666666667e-05,200000.0,0.079576,0.6223339371904764,6.69809070613374,7.6194841283772945,0.0165902792486404,0.4643300294996499
0.0001055555555555,20000.0,0.079576,12.786269372280035,6.733239062622396,1.8512905575302727,0.2304795835079485,1.5966919668432806
0.0001055555555555,40000.0,0.079576,2.6229280962302752,5.710477100156705,4.984732451765214,0.119879524020709,1.003186925753082
0.0001055555555555,60000.0,0.079576,1.8688784267019063,5.550239525251992,5.135815002398973,0.0627243214494227,0.7189504354802573
0.0001055555555555,80000.0,0.079576,1.4258339212511992,5.507865731381176,5.517285107056927,0.0432298308914326,0.6291356549739241
0.0001055555555555,100000.0,0.079576,1.1474072942955575,5.505702082383879,5.952444745152142,0.0333284250586174,0.5902303848863398
0.0001055555555555,120000.0,0.079576,1.04258521479362,5.56168297302804,5.888757366286278,0.0231802398157799,0.4881758472345587
0.0001055555555555,140000.0,0.079576,0.9006979943529394,5.55280142695419,6.269598584733795,0.0193762407670482,0.4707738419149815
0.0001055555555555,160000.0,0.079576,0.7863104014437758,5.6305560642825725,6.71239464219656,0.0169241842405712,0.4661715930645316
0.0001055555555555,180000.0,0.079576,0.6975742952319077,5.568916328956504,7.155341002905189,0.0150415235717809,0.4635009102538327
