L_scaled,C_scaled,fsw_scaled,delta_current,delta_voltage,Pl_s1,Pl_s2,Pl_C,Pl_L_Cu
0.0,0.0,0.0,4.590348642657058,22.68086689404757,2.5727074420928684,2.5727074420928684,1.5819122871435367,2.3244217067619
0.0,0.0,0.11111111111111112,3.0072737156896285,18.624827213420584,2.121644549413485,2.121644549413485,0.3296182553249615,0.8102688117032015
0.0,0.0,0.22222222222222227,1.970801367587557,18.374153517548702,2.369078803453557,2.369078803453557,0.1916824454767012,0.627383919102943
0.0,0.0,0.33333333333333337,1.4504929910701714,18.243136161916134,2.636982368346976,2.636982368346976,0.139923155418654,0.5777732502237904
0.0,0.0,0.4444444444444445,1.1623796970951927,18.16653956711326,2.857791280738421,2.857791280738421,0.1085542158278223,0.5456048515985412
0.0,0.0,0.5555555555555556,0.9624479329490082,18.21571698913786,3.104513939197255,3.104513939197255,0.0903127527938965,0.5360570987744999
0.0,0.0,0.6666666666666666,0.8275623053526739,18.17711501190508,3.323432687150984,3.323432687150984,0.0763756621389103,0.5239146409082174
0.0,0.0,0.7777777777777778,0.7309183722697533,18.215148219469267,3.519955225148914,3.519955225148914,0.0653648926917471,0.5093576995650276
0.0,0.0,0.8888888888888888,0.6549253280646559,18.22304830009965,3.718127395064724,3.718127395064724,0.0570844919120844,0.4982961629957551
0.0,0.0,1.0,0.5927606746574463,18.1706786607332,3.922829513524428,3.922829513524428,0.0507730869341139,0.4908771517544086
0.0,0.1111111111111111,0.0,4.7476518728032495,14.28435982666768,2.489763880362644,2.489763880362644,0.9362428328347988,2.273651995003372
0.0,0.1111111111111111,0.11111111111111112,2.528763517775705,11.802092717109296,2.554772535923572,2.554772535923572,0.26924665413611,1.0269699941352464
0.0,0.1111111111111111,0.22222222222222227,2.044279413796182,11.706461389928494,2.315688161893532,2.315688161893532,0.1130866774858502,0.6105578678180258
0.0,0.1111111111111111,0.33333333333333337,1.5304903321821637,11.632843876781475,2.533662446596685,2.533662446596685,0.0797783274041536,0.5424031425542409
0.0,0.1111111111111111,0.4444444444444445,1.209334082661258,11.547143358398326,2.7832886728767616,2.7832886728767616,0.0633607981607726,0.5218445598016014
0.0,0.1111111111111111,0.5555555555555556,1.0125034236903936,11.61519243847104,2.988225393414,2.988225393414,0.0514905934791248,0.5004483558570125
0.0,0.1111111111111111,0.6666666666666666,0.8593690740890699,11.57575869679632,3.238296367366408,3.238296367366408,0.044559467612654,0.4995202508225068
0.0,0.1111111111111111,0.7777777777777778,0.7523352702529486,11.593395884624172,3.4574313692897736,3.4574313692897736,0.0387273815147911,0.4926687474426731
0.0,0.1111111111111111,0.8888888888888888,0.6680417647584201,11.551434940530614,3.682428068206968,3.682428068206968,0.0343708912578704,0.4894557913519686
0.0,0.1111111111111111,1.0,0.5989746741228142,11.53224520018274,3.9188451194438088,3.9188451194438088,0.031093821751687,0.4901742113466649
0.0,0.22222222222222227,0.0,4.820474658215482,10.463822901307688,2.4533093002384687,2.4533093002384687,0.6646507317620289,2.2520917593175747
0.0,0.22222222222222227,0.11111111111111112,2.724383578230707,8.700403978888566,2.385384438675391,2.385384438675391,0.174250357601381,0.9453193040656108
0.0,0.22222222222222227,0.22222222222222227,2.066607314934908,8.60213513173347,2.30588455480225,2.30588455480225,0.0809779568859219,0.60883370550624
0.0,0.22222222222222227,0.33333333333333337,1.5575530159166222,8.506537628159807,2.5064568930957853,2.5064568930957853,0.0564187239442202,0.5339104045842968
0.0,0.22222222222222227,0.4444444444444445,1.2464611514961337,8.499617379932031,2.718461571001227,2.718461571001227,0.0437122007837046,0.5011900647052504
0.0,0.22222222222222227,0.5555555555555556,1.0319780770719305,8.49904234022827,2.9509802023709115,2.9509802023709115,0.0362560290964199,0.4895428246428454
0.0,0.22222222222222227,0.6666666666666666,0.8821536373526742,8.51773305510203,3.174688919414603,3.174688919414603,0.0309259545255676,0.4815850198920204
0.0,0.22222222222222227,0.7777777777777778,0.766843697049855,8.512528978229966,3.412905240757576,3.412905240757576,0.0272350396752562,0.4809029347148805
0.0,0.22222222222222227,0.8888888888888888,0.678448522723674,8.475841686267474,3.647498448967612,3.647498448967612,0.024332000695338,0.4807550255210015
0.0,0.22222222222222227,1.0,0.6125111243243335,8.513159492966004,3.854222534684971,3.854222534684971,0.021704814236453,0.4747705023135397
0.0,0.3333333333333333,0.0,10.874583726710256,8.143524875887694,1.087954819095544,1.087954819095544,0.2958495934567975,1.6372093027448331
0.0,0.3333333333333333,0.11111111111111112,2.5908275756274035,6.891217755492882,2.516933963329208,2.516933963329208,0.1483028479852114,1.0139924309985933
0.0,0.3333333333333333,0.22222222222222227,1.9543155386264663,6.696091827185821,2.448213226945759,2.448213226945759,0.0702520036735261,0.6672675377833842
0.0,0.3333333333333333,0.33333333333333337,1.4274808671426136,6.652301033151831,2.746393472865704,2.746393472865704,0.0522185512276933,0.6237698244353128
0.0,0.3333333333333333,0.4444444444444445,1.1559872049527689,6.635326684201528,2.94381047276607,2.94381047276607,0.0397547724234306,0.5783018137427359
0.0,0.3333333333333333,0.5555555555555556,1.0445976320484651,6.750217849262703,2.927911889813036,2.927911889813036,0.0279298871948522,0.482885684358138
0.0,0.3333333333333333,0.6666666666666666,0.8937121025583152,6.734777414536418,3.1471779448040955,3.1471779448040955,0.023780451887141,0.474034865438139
0.0,0.3333333333333333,0.7777777777777778,0.7745901806948635,6.730884119698271,3.393389037122448,3.393389037122448,0.0210616699489409,0.4758696823521407
