Combination,Cap(uF),Vol(mm^3)
680.0 and 47.0 + 220.0 + 1000.0,7.173e-04,4819.203130607
680.0 and 47.0 + 330.0 + 470.0,7.178e-04,3546.072707739
680.0 and 47.0 + 330.0 + 680.0,7.188e-04,4111.559385386
680.0 and 47.0 + 330.0 + 820.0,7.192e-04,4504.258467084
680.0 and 47.0 + 330.0 + 1000.0,7.195e-04,4995.132319208
680.0 and 47.0 + 470.0 + 680.0,7.202e-04,4362.886797673
680.0 and 47.0 + 470.0 + 820.0,7.206e-04,4755.585879372
680.0 and 47.0 + 470.0 + 1000.0,7.210e-04,5246.459731495
680.0 and 47.0 + 680.0 + 820.0,7.217e-04,5321.072557018
680.0 and 47.0 + 680.0 + 1000.0,7.221e-04,5811.946409141
680.0 and 47.0 + 820.0 + 1000.0,7.226e-04,6204.64549084
680.0 and 100.0 + 220.0 + 330.0,7.369e-04,3245.728596075
680.0 and 100.0 + 220.0 + 470.0,7.400e-04,3497.056008362
680.0 and 100.0 + 220.0 + 680.0,7.424e-04,4062.542686008
680.0 and 100.0 + 220.0 + 820.0,7.434e-04,4455.241767707
680.0 and 100.0 + 220.0 + 1000.0,7.443e-04,4946.11561983
680.0 and 100.0 + 330.0 + 470.0,7.460e-04,3672.985196963
680.0 and 100.0 + 330.0 + 680.0,7.490e-04,4238.471874609
680.0 and 100.0 + 330.0 + 820.0,7.502e-04,4631.170956308
680.0 and 100.0 + 330.0 + 1000.0,7.513e-04,5122.044808431
680.0 and 100.0 + 470.0 + 680.0,7.535e-04,4489.799286896
680.0 and 100.0 + 470.0 + 820.0,7.549e-04,4882.498368595
680.0 and 100.0 + 470.0 + 1000.0,7.562e-04,5373.372220718
680.0 and 100.0 + 680.0 + 820.0,7.588e-04,5447.985046241
680.0 and 100.0 + 680.0 + 1000.0,7.602e-04,5938.858898365
680.0 and 100.0 + 820.0 + 1000.0,7.618e-04,6331.557980063
680.0 and 220.0 + 330.0 + 470.0,7.831e-04,3908.141261066
680.0 and 220.0 + 330.0 + 680.0,7.905e-04,4473.627938712
680.0 and 220.0 + 330.0 + 820.0,7.937e-04,4866.327020411
680.0 and 220.0 + 330.0 + 1000.0,7.966e-04,5357.200872534
680.0 and 220.0 + 470.0 + 680.0,8.028e-04,4724.955350999
680.0 and 220.0 + 470.0 + 820.0,8.067e-04,5117.654432698
680.0 and 220.0 + 470.0 + 1000.0,8.103e-04,5608.528284821
680.0 and 220.0 + 680.0 + 820.0,8.182e-04,5683.141110344
680.0 and 220.0 + 680.0 + 1000.0,8.225e-04,6174.014962467
680.0 and 220.0 + 820.0 + 1000.0,8.278e-04,6566.714044166
680.0 and 330.0 + 470.0 + 680.0,8.309e-04,4900.8845396
680.0 and 330.0 + 470.0 + 820.0,8.368e-04,5293.583621299
680.0 and 330.0 + 470.0 + 1000.0,8.424e-04,5784.457473422
680.0 and 330.0 + 680.0 + 820.0,8.548e-04,5859.070298945
680.0 and 330.0 + 680.0 + 1000.0,8.618e-04,6349.944151068
680.0 and 330.0 + 820.0 + 1000.0,8.705e-04,6742.643232767
680.0 and 470.0 + 680.0 + 820.0,8.876e-04,6110.397711232
680.0 and 470.0 + 680.0 + 1000.0,8.975e-04,6601.271563356
680.0 and 470.0 + 820.0 + 1000.0,9.100e-04,6993.970645054
680.0 and 680.0 + 820.0 + 1000.0,9.510e-04,7559.4573227
680.0 and 47.0 + 100.0 + 220.0 + 330.0,7.057e-04,3461.713091009
680.0 and 47.0 + 100.0 + 220.0 + 470.0,7.064e-04,3713.040503296
680.0 and 47.0 + 100.0 + 220.0 + 680.0,7.068e-04,4278.527180942
680.0 and 47.0 + 100.0 + 220.0 + 820.0,7.070e-04,4671.226262641
680.0 and 47.0 + 100.0 + 220.0 + 1000.0,7.072e-04,5162.100114764
680.0 and 47.0 + 100.0 + 330.0 + 470.0,7.074e-04,3888.969691897
680.0 and 47.0 + 100.0 + 330.0 + 680.0,7.080e-04,4454.456369543
680.0 and 47.0 + 100.0 + 330.0 + 820.0,7.081e-04,4847.155451242
680.0 and 47.0 + 100.0 + 330.0 + 1000.0,7.083e-04,5338.029303365
680.0 and 47.0 + 100.0 + 470.0 + 680.0,7.087e-04,4705.783781831
680.0 and 47.0 + 100.0 + 470.0 + 820.0,7.089e-04,5098.482863529
680.0 and 47.0 + 100.0 + 470.0 + 1000.0,7.091e-04,5589.356715653
680.0 and 47.0 + 100.0 + 680.0 + 820.0,7.094e-04,5663.969541175
680.0 and 47.0 + 100.0 + 680.0 + 1000.0,7.096e-04,6154.843393299
680.0 and 47.0 + 100.0 + 820.0 + 1000.0,7.099e-04,6547.542474998
680.0 and 47.0 + 220.0 + 330.0 + 470.0,7.123e-04,4124.125756
680.0 and 47.0 + 220.0 + 330.0 + 680.0,7.130e-04,4689.612433646
680.0 and 47.0 + 220.0 + 330.0 + 820.0,7.133e-04,5082.311515345
680.0 and 47.0 + 220.0 + 330.0 + 1000.0,7.135e-04,5573.185367468
680.0 and 47.0 + 220.0 + 470.0 + 680.0,7.140e-04,4940.939845933
680.0 and 47.0 + 220.0 + 470.0 + 820.0,7.143e-04,5333.638927632
680.0 and 47.0 + 220.0 + 470.0 + 1000.0,7.145e-04,5824.512779755
680.0 and 47.0 + 220.0 + 680.0 + 820.0,7.151e-04,5899.125605278
680.0 and 47.0 + 220.0 + 680.0 + 1000.0,7.153e-04,6389.999457402
680.0 and 47.0 + 220.0 + 820.0 + 1000.0,7.157e-04,6782.6985391
680.0 and 47.0 + 330.0 + 470.0 + 680.0,7.158e-04,5116.869034534
680.0 and 47.0 + 330.0 + 470.0 + 820.0,7.162e-04,5509.568116233
680.0 and 47.0 + 330.0 + 470.0 + 1000.0,7.165e-04,6000.441968357
680.0 and 47.0 + 330.0 + 680.0 + 820.0,7.170e-04,6075.054793879
680.0 and 47.0 + 330.0 + 680.0 + 1000.0,7.173e-04,6565.928646003
680.0 and 47.0 + 330.0 + 820.0 + 1000.0,7.177e-04,6958.627727701
680.0 and 47.0 + 470.0 + 680.0 + 820.0,7.183e-04,6326.382206166
680.0 and 47.0 + 470.0 + 680.0 + 1000.0,7.186e-04,6817.25605829
680.0 and 47.0 + 470.0 + 820.0 + 1000.0,7.190e-04,7209.955139989
680.0 and 47.0 + 680.0 + 820.0 + 1000.0,7.201e-04,7775.441817635
680.0 and 100.0 + 220.0 + 330.0 + 470.0,7.308e-04,4251.038245223
680.0 and 100.0 + 220.0 + 330.0 + 680.0,7.325e-04,4816.52492287
680.0 and 100.0 + 220.0 + 330.0 + 820.0,7.332e-04,5209.224004568
680.0 and 100.0 + 220.0 + 330.0 + 1000.0,7.338e-04,5700.097856692
680.0 and 100.0 + 220.0 + 470.0 + 680.0,7.351e-04,5067.852335157
680.0 and 100.0 + 220.0 + 470.0 + 820.0,7.359e-04,5460.551416855
680.0 and 100.0 + 220.0 + 470.0 + 1000.0,7.366e-04,5951.425268979
680.0 and 100.0 + 220.0 + 680.0 + 820.0,7.380e-04,6026.038094502
680.0 and 100.0 + 220.0 + 680.0 + 1000.0,7.388e-04,6516.911946625
680.0 and 100.0 + 220.0 + 820.0 + 1000.0,7.396e-04,6909.611028324
680.0 and 100.0 + 330.0 + 470.0 + 680.0,7.401e-04,5243.781523758
680.0 and 100.0 + 330.0 + 470.0 + 820.0,7.411e-04,5636.480605456
680.0 and 100.0 + 330.0 + 470.0 + 1000.0,7.419e-04,6127.35445758
680.0 and 100.0 + 330.0 + 680.0 + 820.0,7.436e-04,6201.967283103
680.0 and 100.0 + 330.0 + 680.0 + 1000.0,7.445e-04,6692.841135226
680.0 and 100.0 + 330.0 + 820.0 + 1000.0,7.456e-04,7085.540216925
680.0 and 100.0 + 470.0 + 680.0 + 820.0,7.475e-04,6453.29469539
680.0 and 100.0 + 470.0 + 680.0 + 1000.0,7.485e-04,6944.168547513
680.0 and 100.0 + 470.0 + 820.0 + 1000.0,7.497e-04,7336.867629212
680.0 and 100.0 + 680.0 + 820.0 + 1000.0,7.530e-04,7902.354306858
680.0 and 220.0 + 330.0 + 470.0 + 680.0,7.695e-04,5478.937587861
680.0 and 220.0 + 330.0 + 470.0 + 820.0,7.716e-04,5871.636669559
680.0 and 220.0 + 330.0 + 470.0 + 1000.0,7.734e-04,6362.510521683
680.0 and 220.0 + 330.0 + 680.0 + 820.0,7.774e-04,6437.123347205
680.0 and 220.0 + 330.0 + 680.0 + 1000.0,7.795e-04,6927.997199329
680.0 and 220.0 + 330.0 + 820.0 + 1000.0,7.821e-04,7320.696281028
680.0 and 220.0 + 470.0 + 680.0 + 820.0,7.868e-04,6688.450759493
680.0 and 220.0 + 470.0 + 680.0 + 1000.0,7.894e-04,7179.324611616
680.0 and 220.0 + 470.0 + 820.0 + 1000.0,7.925e-04,7572.023693315
680.0 and 220.0 + 680.0 + 820.0 + 1000.0,8.014e-04,8137.510370961
680.0 and 330.0 + 470.0 + 680.0 + 820.0,8.074e-04,6864.379948094
680.0 and 330.0 + 470.0 + 680.0 + 1000.0,8.111e-04,7355.253800217
680.0 and 330.0 + 470.0 + 820.0 + 1000.0,8.155e-04,7747.952881916
680.0 and 330.0 + 680.0 + 820.0 + 1000.0,8.288e-04,8313.439559562
680.0 and 470.0 + 680.0 + 820.0 + 1000.0,8.519e-04,8564.766971849
680.0 and 47.0 + 100.0 + 220.0 + 330.0 + 470.0,7.044e-04,4467.022740158
680.0 and 47.0 + 100.0 + 220.0 + 330.0 + 680.0,7.048e-04,5032.509417804
680.0 and 47.0 + 100.0 + 220.0 + 330.0 + 820.0,7.050e-04,5425.208499503
680.0 and 47.0 + 100.0 + 220.0 + 330.0 + 1000.0,7.051e-04,5916.082351626
680.0 and 47.0 + 100.0 + 220.0 + 470.0 + 680.0,7.054e-04,5283.836830091
680.0 and 47.0 + 100.0 + 220.0 + 470.0 + 820.0,7.055e-04,5676.53591179
680.0 and 47.0 + 100.0 + 220.0 + 470.0 + 1000.0,7.057e-04,6167.409763913
680.0 and 47.0 + 100.0 + 220.0 + 680.0 + 820.0,7.060e-04,6242.022589436
680.0 and 47.0 + 100.0 + 220.0 + 680.0 + 1000.0,7.061e-04,6732.896441559
680.0 and 47.0 + 100.0 + 220.0 + 820.0 + 1000.0,7.063e-04,7125.595523258
680.0 and 47.0 + 100.0 + 330.0 + 470.0 + 680.0,7.064e-04,5459.766018692
680.0 and 47.0 + 100.0 + 330.0 + 470.0 + 820.0,7.066e-04,5852.465100391
680.0 and 47.0 + 100.0 + 330.0 + 470.0 + 1000.0,7.067e-04,6343.338952514
680.0 and 47.0 + 100.0 + 330.0 + 680.0 + 820.0,7.070e-04,6417.951778037
680.0 and 47.0 + 100.0 + 330.0 + 680.0 + 1000.0,7.072e-04,6908.82563016
680.0 and 47.0 + 100.0 + 330.0 + 820.0 + 1000.0,7.074e-04,7301.524711859
680.0 and 47.0 + 100.0 + 470.0 + 680.0 + 820.0,7.077e-04,6669.279190324
680.0 and 47.0 + 100.0 + 470.0 + 680.0 + 1000.0,7.079e-04,7160.153042448
680.0 and 47.0 + 100.0 + 470.0 + 820.0 + 1000.0,7.081e-04,7552.852124146
680.0 and 47.0 + 100.0 + 680.0 + 820.0 + 1000.0,7.086e-04,8118.338801792
680.0 and 47.0 + 220.0 + 330.0 + 470.0 + 680.0,7.108e-04,5694.922082795
680.0 and 47.0 + 220.0 + 330.0 + 470.0 + 820.0,7.111e-04,6087.621164494
680.0 and 47.0 + 220.0 + 330.0 + 470.0 + 1000.0,7.113e-04,6578.495016617
680.0 and 47.0 + 220.0 + 330.0 + 680.0 + 820.0,7.117e-04,6653.10784214
680.0 and 47.0 + 220.0 + 330.0 + 680.0 + 1000.0,7.119e-04,7143.981694263
680.0 and 47.0 + 220.0 + 330.0 + 820.0 + 1000.0,7.122e-04,7536.680775962
680.0 and 47.0 + 220.0 + 470.0 + 680.0 + 820.0,7.126e-04,6904.435254427
680.0 and 47.0 + 220.0 + 470.0 + 680.0 + 1000.0,7.129e-04,7395.30910655
680.0 and 47.0 + 220.0 + 470.0 + 820.0 + 1000.0,7.131e-04,7788.008188249
680.0 and 47.0 + 220.0 + 680.0 + 820.0 + 1000.0,7.139e-04,8353.494865895
680.0 and 47.0 + 330.0 + 470.0 + 680.0 + 820.0,7.143e-04,7080.364443028
680.0 and 47.0 + 330.0 + 470.0 + 680.0 + 1000.0,7.146e-04,7571.238295151
680.0 and 47.0 + 330.0 + 470.0 + 820.0 + 1000.0,7.149e-04,7963.93737685
680.0 and 47.0 + 330.0 + 680.0 + 820.0 + 1000.0,7.157e-04,8529.424054496
680.0 and 47.0 + 470.0 + 680.0 + 820.0 + 1000.0,7.169e-04,8780.751466783
680.0 and 100.0 + 220.0 + 330.0 + 470.0 + 680.0,7.272e-04,5821.834572018
680.0 and 100.0 + 220.0 + 330.0 + 470.0 + 820.0,7.278e-04,6214.533653717
680.0 and 100.0 + 220.0 + 330.0 + 470.0 + 1000.0,7.283e-04,6705.40750584
680.0 and 100.0 + 220.0 + 330.0 + 680.0 + 820.0,7.293e-04,6780.020331363
680.0 and 100.0 + 220.0 + 330.0 + 680.0 + 1000.0,7.299e-04,7270.894183487
680.0 and 100.0 + 220.0 + 330.0 + 820.0 + 1000.0,7.305e-04,7663.593265185
680.0 and 100.0 + 220.0 + 470.0 + 680.0 + 820.0,7.316e-04,7031.34774365
680.0 and 100.0 + 220.0 + 470.0 + 680.0 + 1000.0,7.322e-04,7522.221595774
680.0 and 100.0 + 220.0 + 470.0 + 820.0 + 1000.0,7.329e-04,7914.920677472
680.0 and 100.0 + 220.0 + 680.0 + 820.0 + 1000.0,7.348e-04,8480.407355119
680.0 and 100.0 + 330.0 + 470.0 + 680.0 + 820.0,7.360e-04,7207.276932251
680.0 and 100.0 + 330.0 + 470.0 + 680.0 + 1000.0,7.367e-04,7698.150784375
680.0 and 100.0 + 330.0 + 470.0 + 820.0 + 1000.0,7.375e-04,8090.849866074
680.0 and 100.0 + 330.0 + 680.0 + 820.0 + 1000.0,7.398e-04,8656.33654372
680.0 and 100.0 + 470.0 + 680.0 + 820.0 + 1000.0,7.432e-04,8907.663956007
680.0 and 220.0 + 330.0 + 470.0 + 680.0 + 820.0,7.607e-04,7442.432996354
680.0 and 220.0 + 330.0 + 470.0 + 680.0 + 1000.0,7.621e-04,7933.306848478
680.0 and 220.0 + 330.0 + 470.0 + 820.0 + 1000.0,7.639e-04,8326.005930176
680.0 and 220.0 + 330.0 + 680.0 + 820.0 + 1000.0,7.688e-04,8891.492607823
680.0 and 220.0 + 470.0 + 680.0 + 820.0 + 1000.0,7.765e-04,9142.82002011
680.0 and 330.0 + 470.0 + 680.0 + 820.0 + 1000.0,7.930e-04,9318.749208711
820.0 and 47.0,8.670e-04,2179.479903428
820.0 and 100.0,9.200e-04,2306.392392651
820.0 and 47.0 + 100.0,8.520e-04,2522.376887586
820.0 and 47.0 + 220.0,8.587e-04,2757.532951688
820.0 and 47.0 + 330.0,8.611e-04,2933.462140289
820.0 and 47.0 + 470.0,8.627e-04,3184.789552577
820.0 and 47.0 + 680.0,8.640e-04,3750.276230223
820.0 and 47.0 + 820.0,8.645e-04,4142.975311922
820.0 and 47.0 + 1000.0,8.649e-04,4633.849164045
820.0 and 100.0 + 220.0,8.888e-04,2884.445440912
820.0 and 100.0 + 330.0,8.967e-04,3060.374629513
820.0 and 100.0 + 470.0,9.025e-04,3311.7020418
820.0 and 100.0 + 680.0,9.072e-04,3877.188719446
820.0 and 100.0 + 820.0,9.091e-04,4269.887801145
820.0 and 100.0 + 1000.0,9.109e-04,4760.761653268
820.0 and 220.0 + 330.0,9.520e-04,3295.530693616
820.0 and 220.0 + 470.0,9.699e-04,3546.858105903
820.0 and 220.0 + 680.0,9.862e-04,4112.344783549
820.0 and 220.0 + 820.0,9.935e-04,4505.043865248
820.0 and 47.0 + 100.0 + 220.0,8.479e-04,3100.429935846
820.0 and 47.0 + 100.0 + 330.0,8.491e-04,3276.359124447
820.0 and 47.0 + 100.0 + 470.0,8.499e-04,3527.686536734
820.0 and 47.0 + 100.0 + 680.0,8.505e-04,4093.173214381
820.0 and 47.0 + 100.0 + 820.0,8.508e-04,4485.872296079
820.0 and 47.0 + 100.0 + 1000.0,8.510e-04,4976.746148203
820.0 and 47.0 + 220.0 + 330.0,8.547e-04,3511.51518855
820.0 and 47.0 + 220.0 + 470.0,8.558e-04,3762.842600837
820.0 and 47.0 + 220.0 + 680.0,8.566e-04,4328.329278483
820.0 and 47.0 + 220.0 + 820.0,8.570e-04,4721.028360182
820.0 and 47.0 + 220.0 + 1000.0,8.573e-04,5211.902212305
820.0 and 47.0 + 330.0 + 470.0,8.578e-04,3938.771789438
820.0 and 47.0 + 330.0 + 680.0,8.588e-04,4504.258467084
820.0 and 47.0 + 330.0 + 820.0,8.592e-04,4896.957548783
820.0 and 47.0 + 330.0 + 1000.0,8.595e-04,5387.831400906
820.0 and 47.0 + 470.0 + 680.0,8.602e-04,4755.585879372
820.0 and 47.0 + 470.0 + 820.0,8.606e-04,5148.28496107
820.0 and 47.0 + 470.0 + 1000.0,8.610e-04,5639.158813194
820.0 and 47.0 + 680.0 + 820.0,8.617e-04,5713.771638716
820.0 and 47.0 + 680.0 + 1000.0,8.621e-04,6204.64549084
820.0 and 47.0 + 820.0 + 1000.0,8.626e-04,6597.344572539
820.0 and 100.0 + 220.0 + 330.0,8.769e-04,3638.427677773
820.0 and 100.0 + 220.0 + 470.0,8.800e-04,3889.755090061
820.0 and 100.0 + 220.0 + 680.0,8.824e-04,4455.241767707
820.0 and 100.0 + 220.0 + 820.0,8.834e-04,4847.940849405
820.0 and 100.0 + 220.0 + 1000.0,8.843e-04,5338.814701529
820.0 and 100.0 + 330.0 + 470.0,8.860e-04,4065.684278662
820.0 and 100.0 + 330.0 + 680.0,8.890e-04,4631.170956308
820.0 and 100.0 + 330.0 + 820.0,8.902e-04,5023.870038006
820.0 and 100.0 + 330.0 + 1000.0,8.913e-04,5514.74389013
820.0 and 100.0 + 470.0 + 680.0,8.935e-04,4882.498368595
820.0 and 100.0 + 470.0 + 820.0,8.949e-04,5275.197450294
820.0 and 100.0 + 470.0 + 1000.0,8.962e-04,5766.071302417
820.0 and 100.0 + 680.0 + 820.0,8.988e-04,5840.68412794
820.0 and 100.0 + 680.0 + 1000.0,9.002e-04,6331.557980063
820.0 and 100.0 + 820.0 + 1000.0,9.018e-04,6724.257061762
820.0 and 220.0 + 330.0 + 470.0,9.231e-04,4300.840342764
820.0 and 220.0 + 330.0 + 680.0,9.305e-04,4866.327020411
820.0 and 220.0 + 330.0 + 820.0,9.337e-04,5259.026102109
820.0 and 220.0 + 330.0 + 1000.0,9.366e-04,5749.899954233
820.0 and 220.0 + 470.0 + 680.0,9.428e-04,5117.654432698
820.0 and 220.0 + 470.0 + 820.0,9.467e-04,5510.353514396
820.0 and 220.0 + 470.0 + 1000.0,9.503e-04,6001.22736652
820.0 and 220.0 + 680.0 + 820.0,9.582e-04,6075.840192043
820.0 and 220.0 + 680.0 + 1000.0,9.625e-04,6566.714044166
820.0 and 220.0 + 820.0 + 1000.0,9.678e-04,6959.413125865
820.0 and 330.0 + 470.0 + 680.0,9.709e-04,5293.583621299
820.0 and 330.0 + 470.0 + 820.0,9.768e-04,5686.282702998
820.0 and 330.0 + 470.0 + 1000.0,9.824e-04,6177.156555121
820.0 and 330.0 + 680.0 + 820.0,9.948e-04,6251.769380644
820.0 and 47.0 + 100.0 + 220.0 + 330.0,8.457e-04,3854.412172708
820.0 and 47.0 + 100.0 + 220.0 + 470.0,8.464e-04,4105.739584995
820.0 and 47.0 + 100.0 + 220.0 + 680.0,8.468e-04,4671.226262641
820.0 and 47.0 + 100.0 + 220.0 + 820.0,8.470e-04,5063.92534434
820.0 and 47.0 + 100.0 + 220.0 + 1000.0,8.472e-04,5554.799196463
820.0 and 47.0 + 100.0 + 330.0 + 470.0,8.474e-04,4281.668773596
820.0 and 47.0 + 100.0 + 330.0 + 680.0,8.480e-04,4847.155451242
820.0 and 47.0 + 100.0 + 330.0 + 820.0,8.481e-04,5239.854532941
820.0 and 47.0 + 100.0 + 330.0 + 1000.0,8.483e-04,5730.728385064
820.0 and 47.0 + 100.0 + 470.0 + 680.0,8.487e-04,5098.482863529
820.0 and 47.0 + 100.0 + 470.0 + 820.0,8.489e-04,5491.181945228
820.0 and 47.0 + 100.0 + 470.0 + 1000.0,8.491e-04,5982.055797351
820.0 and 47.0 + 100.0 + 680.0 + 820.0,8.494e-04,6056.668622874
820.0 and 47.0 + 100.0 + 680.0 + 1000.0,8.496e-04,6547.542474998
820.0 and 47.0 + 100.0 + 820.0 + 1000.0,8.499e-04,6940.241556696
820.0 and 47.0 + 220.0 + 330.0 + 470.0,8.523e-04,4516.824837699
820.0 and 47.0 + 220.0 + 330.0 + 680.0,8.530e-04,5082.311515345
820.0 and 47.0 + 220.0 + 330.0 + 820.0,8.533e-04,5475.010597044
820.0 and 47.0 + 220.0 + 330.0 + 1000.0,8.535e-04,5965.884449167
820.0 and 47.0 + 220.0 + 470.0 + 680.0,8.540e-04,5333.638927632
820.0 and 47.0 + 220.0 + 470.0 + 820.0,8.543e-04,5726.338009331
820.0 and 47.0 + 220.0 + 470.0 + 1000.0,8.545e-04,6217.211861454
820.0 and 47.0 + 220.0 + 680.0 + 820.0,8.551e-04,6291.824686977
820.0 and 47.0 + 220.0 + 680.0 + 1000.0,8.553e-04,6782.6985391
820.0 and 47.0 + 220.0 + 820.0 + 1000.0,8.557e-04,7175.397620799
820.0 and 47.0 + 330.0 + 470.0 + 680.0,8.558e-04,5509.568116233
820.0 and 47.0 + 330.0 + 470.0 + 820.0,8.562e-04,5902.267197932
820.0 and 47.0 + 330.0 + 470.0 + 1000.0,8.565e-04,6393.141050055
820.0 and 47.0 + 330.0 + 680.0 + 820.0,8.570e-04,6467.753875578
820.0 and 47.0 + 330.0 + 680.0 + 1000.0,8.573e-04,6958.627727701
820.0 and 47.0 + 330.0 + 820.0 + 1000.0,8.577e-04,7351.3268094
820.0 and 47.0 + 470.0 + 680.0 + 820.0,8.583e-04,6719.081287865
820.0 and 47.0 + 470.0 + 680.0 + 1000.0,8.586e-04,7209.955139989
820.0 and 47.0 + 470.0 + 820.0 + 1000.0,8.590e-04,7602.654221687
820.0 and 47.0 + 680.0 + 820.0 + 1000.0,8.601e-04,8168.140899333
820.0 and 100.0 + 220.0 + 330.0 + 470.0,8.708e-04,4643.737326922
820.0 and 100.0 + 220.0 + 330.0 + 680.0,8.725e-04,5209.224004568
820.0 and 100.0 + 220.0 + 330.0 + 820.0,8.732e-04,5601.923086267
820.0 and 100.0 + 220.0 + 330.0 + 1000.0,8.738e-04,6092.79693839
820.0 and 100.0 + 220.0 + 470.0 + 680.0,8.751e-04,5460.551416855
820.0 and 100.0 + 220.0 + 470.0 + 820.0,8.759e-04,5853.250498554
820.0 and 100.0 + 220.0 + 470.0 + 1000.0,8.766e-04,6344.124350678
820.0 and 100.0 + 220.0 + 680.0 + 820.0,8.780e-04,6418.7371762
820.0 and 100.0 + 220.0 + 680.0 + 1000.0,8.788e-04,6909.611028324
820.0 and 100.0 + 220.0 + 820.0 + 1000.0,8.796e-04,7302.310110022
820.0 and 100.0 + 330.0 + 470.0 + 680.0,8.801e-04,5636.480605456
820.0 and 100.0 + 330.0 + 470.0 + 820.0,8.811e-04,6029.179687155
820.0 and 100.0 + 330.0 + 470.0 + 1000.0,8.819e-04,6520.053539279
820.0 and 100.0 + 330.0 + 680.0 + 820.0,8.836e-04,6594.666364801
820.0 and 100.0 + 330.0 + 680.0 + 1000.0,8.845e-04,7085.540216925
820.0 and 100.0 + 330.0 + 820.0 + 1000.0,8.856e-04,7478.239298624
820.0 and 100.0 + 470.0 + 680.0 + 820.0,8.875e-04,6845.993777089
820.0 and 100.0 + 470.0 + 680.0 + 1000.0,8.885e-04,7336.867629212
820.0 and 100.0 + 470.0 + 820.0 + 1000.0,8.897e-04,7729.566710911
820.0 and 100.0 + 680.0 + 820.0 + 1000.0,8.930e-04,8295.053388557
820.0 and 220.0 + 330.0 + 470.0 + 680.0,9.095e-04,5871.636669559
820.0 and 220.0 + 330.0 + 470.0 + 820.0,9.116e-04,6264.335751258
820.0 and 220.0 + 330.0 + 470.0 + 1000.0,9.134e-04,6755.209603381
820.0 and 220.0 + 330.0 + 680.0 + 820.0,9.174e-04,6829.822428904
820.0 and 220.0 + 330.0 + 680.0 + 1000.0,9.195e-04,7320.696281028
820.0 and 220.0 + 330.0 + 820.0 + 1000.0,9.221e-04,7713.395362726
820.0 and 220.0 + 470.0 + 680.0 + 820.0,9.268e-04,7081.149841191
820.0 and 220.0 + 470.0 + 680.0 + 1000.0,9.294e-04,7572.023693315
820.0 and 220.0 + 470.0 + 820.0 + 1000.0,9.325e-04,7964.722775014
820.0 and 220.0 + 680.0 + 820.0 + 1000.0,9.414e-04,8530.20945266
820.0 and 330.0 + 470.0 + 680.0 + 820.0,9.474e-04,7257.079029792
820.0 and 330.0 + 470.0 + 680.0 + 1000.0,9.511e-04,7747.952881916
820.0 and 330.0 + 470.0 + 820.0 + 1000.0,9.555e-04,8140.651963615
820.0 and 330.0 + 680.0 + 820.0 + 1000.0,9.688e-04,8706.138641261
820.0 and 470.0 + 680.0 + 820.0 + 1000.0,9.919e-04,8957.466053548
820.0 and 47.0 + 100.0 + 220.0 + 330.0 + 470.0,8.444e-04,4859.721821856
820.0 and 47.0 + 100.0 + 220.0 + 330.0 + 680.0,8.448e-04,5425.208499503
820.0 and 47.0 + 100.0 + 220.0 + 330.0 + 820.0,8.450e-04,5817.907581201
820.0 and 47.0 + 100.0 + 220.0 + 330.0 + 1000.0,8.451e-04,6308.781433325
820.0 and 47.0 + 100.0 + 220.0 + 470.0 + 680.0,8.454e-04,5676.53591179
820.0 and 47.0 + 100.0 + 220.0 + 470.0 + 820.0,8.455e-04,6069.234993488
820.0 and 47.0 + 100.0 + 220.0 + 470.0 + 1000.0,8.457e-04,6560.108845612
820.0 and 47.0 + 100.0 + 220.0 + 680.0 + 820.0,8.460e-04,6634.721671135
820.0 and 47.0 + 100.0 + 220.0 + 680.0 + 1000.0,8.461e-04,7125.595523258
820.0 and 47.0 + 100.0 + 220.0 + 820.0 + 1000.0,8.463e-04,7518.294604957
820.0 and 47.0 + 100.0 + 330.0 + 470.0 + 680.0,8.464e-04,5852.465100391
820.0 and 47.0 + 100.0 + 330.0 + 470.0 + 820.0,8.466e-04,6245.16418209
820.0 and 47.0 + 100.0 + 330.0 + 470.0 + 1000.0,8.467e-04,6736.038034213
820.0 and 47.0 + 100.0 + 330.0 + 680.0 + 820.0,8.470e-04,6810.650859736
820.0 and 47.0 + 100.0 + 330.0 + 680.0 + 1000.0,8.472e-04,7301.524711859
820.0 and 47.0 + 100.0 + 330.0 + 820.0 + 1000.0,8.474e-04,7694.223793558
820.0 and 47.0 + 100.0 + 470.0 + 680.0 + 820.0,8.477e-04,7061.978272023
820.0 and 47.0 + 100.0 + 470.0 + 680.0 + 1000.0,8.479e-04,7552.852124146
820.0 and 47.0 + 100.0 + 470.0 + 820.0 + 1000.0,8.481e-04,7945.551205845
820.0 and 47.0 + 100.0 + 680.0 + 820.0 + 1000.0,8.486e-04,8511.037883491
820.0 and 47.0 + 220.0 + 330.0 + 470.0 + 680.0,8.508e-04,6087.621164494
820.0 and 47.0 + 220.0 + 330.0 + 470.0 + 820.0,8.511e-04,6480.320246192
820.0 and 47.0 + 220.0 + 330.0 + 470.0 + 1000.0,8.513e-04,6971.194098316
820.0 and 47.0 + 220.0 + 330.0 + 680.0 + 820.0,8.517e-04,7045.806923839
820.0 and 47.0 + 220.0 + 330.0 + 680.0 + 1000.0,8.519e-04,7536.680775962
