Combination,Cap(uF),Vol(mm^3)
220.0 + 330.0 + 1000.0,1.166e-04,3786.4045457390985
220.0 + 470.0 + 680.0,1.228e-04,3154.1590242041525
220.0 + 470.0 + 820.0,1.267e-04,3546.858105902877
220.0 + 470.0 + 1000.0,1.303e-04,4037.731958026282
220.0 + 680.0 + 820.0,1.382e-04,4112.344783549039
220.0 + 680.0 + 1000.0,1.425e-04,4603.218635672445
220.0 + 820.0 + 1000.0,1.478e-04,4995.917717371169
330.0 + 470.0 + 680.0,1.509e-04,3330.088212805181
330.0 + 470.0 + 820.0,1.568e-04,3722.787294503905
330.0 + 470.0 + 1000.0,1.624e-04,4213.66114662731
330.0 + 680.0 + 820.0,1.748e-04,4288.273972150068
330.0 + 680.0 + 1000.0,1.818e-04,4779.147824273473
330.0 + 820.0 + 1000.0,1.905e-04,5171.846905972197
470.0 + 680.0 + 820.0,2.076e-04,4539.601384437251
470.0 + 680.0 + 1000.0,2.175e-04,5030.475236560656
470.0 + 820.0 + 1000.0,2.300e-04,5423.174318259381
680.0 + 820.0 + 1000.0,2.710e-04,5988.660995905544
47.0 + 100.0 + 220.0 + 330.0,2.574e-05,1890.9167642140624
47.0 + 100.0 + 220.0 + 470.0,2.635e-05,2142.244176501246
47.0 + 100.0 + 220.0 + 680.0,2.681e-05,2707.7308541474085
47.0 + 100.0 + 220.0 + 820.0,2.700e-05,3100.429935846133
47.0 + 100.0 + 220.0 + 1000.0,2.716e-05,3591.3037879695385
47.0 + 100.0 + 330.0 + 470.0,2.745e-05,2318.173365102274
47.0 + 100.0 + 330.0 + 680.0,2.795e-05,2883.6600427484373
47.0 + 100.0 + 330.0 + 820.0,2.815e-05,3276.3591244471613
47.0 + 100.0 + 330.0 + 1000.0,2.832e-05,3767.232976570567
47.0 + 100.0 + 470.0 + 680.0,2.867e-05,3134.9874550356208
47.0 + 100.0 + 470.0 + 820.0,2.888e-05,3527.686536734345
47.0 + 100.0 + 470.0 + 1000.0,2.907e-05,4018.5603888577502
47.0 + 100.0 + 680.0 + 820.0,2.944e-05,4093.173214380508
47.0 + 100.0 + 680.0 + 1000.0,2.963e-05,4584.047066503913
47.0 + 100.0 + 820.0 + 1000.0,2.985e-05,4976.746148202637
47.0 + 220.0 + 330.0 + 470.0,3.228e-05,2553.329429205104
47.0 + 220.0 + 330.0 + 680.0,3.298e-05,3118.816106851268
47.0 + 220.0 + 330.0 + 820.0,3.325e-05,3511.515188549992
47.0 + 220.0 + 330.0 + 1000.0,3.350e-05,4002.3890406733967
47.0 + 220.0 + 470.0 + 680.0,3.399e-05,3370.1435191384508
47.0 + 220.0 + 470.0 + 820.0,3.428e-05,3762.842600837175
47.0 + 220.0 + 470.0 + 1000.0,3.454e-05,4253.71645296058
47.0 + 220.0 + 680.0 + 820.0,3.507e-05,4328.3292784833375
47.0 + 220.0 + 680.0 + 1000.0,3.534e-05,4819.203130606743
47.0 + 220.0 + 820.0 + 1000.0,3.566e-05,5211.902212305467
47.0 + 330.0 + 470.0 + 680.0,3.584e-05,3546.072707739479
47.0 + 330.0 + 470.0 + 820.0,3.616e-05,3938.771789438203
47.0 + 330.0 + 470.0 + 1000.0,3.645e-05,4429.6456415616085
47.0 + 330.0 + 680.0 + 820.0,3.704e-05,4504.258467084366
47.0 + 330.0 + 680.0 + 1000.0,3.734e-05,4995.132319207772
47.0 + 330.0 + 820.0 + 1000.0,3.770e-05,5387.831400906495
47.0 + 470.0 + 680.0 + 820.0,3.832e-05,4755.58587937155
47.0 + 470.0 + 680.0 + 1000.0,3.865e-05,5246.459731494955
47.0 + 470.0 + 820.0 + 1000.0,3.903e-05,5639.158813193679
47.0 + 680.0 + 820.0 + 1000.0,4.005e-05,6204.645490839842
100.0 + 220.0 + 330.0 + 470.0,5.075e-05,2680.241918428498
100.0 + 220.0 + 330.0 + 680.0,5.250e-05,3245.728596074661
