Part_Number,OD(mm),ID(mm),Ht(mm),AL_Value(nH/T^2),N,L(uH),Vol(mm^3)
T250-75-247,63.5,31.8,25.4,242.0,48,5.576e-04,60266.47092237527
T250-75-248,63.5,31.8,25.4,242.0,49,5.810e-04,60266.47092237527
T250-75-249,63.5,31.8,25.4,242.0,50,6.050e-04,60266.47092237527
T250-75-250,63.5,31.8,25.4,242.0,51,6.294e-04,60266.47092237527
T250-75-251,63.5,31.8,25.4,242.0,52,6.544e-04,60266.47092237527
T250-75-252,63.5,31.8,25.4,242.0,53,6.798e-04,60266.47092237527
T250-75-253,63.5,31.8,25.4,242.0,54,7.057e-04,60266.47092237527
T250-75-254,63.5,31.8,25.4,242.0,55,7.320e-04,60266.47092237527
T250-75-255,63.5,31.8,25.4,242.0,56,7.589e-04,60266.47092237527
T250-75-256,63.5,31.8,25.4,242.0,57,7.863e-04,60266.47092237527
T250-75-257,63.5,31.8,25.4,242.0,58,8.141e-04,60266.47092237527
T250-75-258,63.5,31.8,25.4,242.0,59,8.424e-04,60266.47092237527
T250-75-259,63.5,31.8,25.4,242.0,60,8.712e-04,60266.47092237527
T250-75-260,63.5,31.8,25.4,242.0,61,9.005e-04,60266.47092237527
T250-75-261,63.5,31.8,25.4,242.0,62,9.302e-04,60266.47092237527
T250-75-262,63.5,31.8,25.4,242.0,63,9.605e-04,60266.47092237527
T250-75-263,63.5,31.8,25.4,242.0,64,9.912e-04,60266.47092237527
T250-75-264,63.5,31.8,25.4,242.0,65,1.022e-03,60266.47092237527
T250-75-265,63.5,31.8,25.4,242.0,66,1.054e-03,60266.47092237527
T250-75-266,63.5,31.8,25.4,242.0,67,1.086e-03,60266.47092237527
T250-75-267,63.5,31.8,25.4,242.0,68,1.119e-03,60266.47092237527
T250-75-268,63.5,31.8,25.4,242.0,69,1.152e-03,60266.47092237527
T250-75-269,63.5,31.8,25.4,242.0,70,1.186e-03,60266.47092237527
T250-75-270,63.5,31.8,25.4,242.0,71,1.220e-03,60266.47092237527
T250-75-271,63.5,31.8,25.4,242.0,72,1.255e-03,60266.47092237527
T250-75-272,63.5,31.8,25.4,242.0,73,1.290e-03,60266.47092237527
T250-75-273,63.5,31.8,25.4,242.0,74,1.325e-03,60266.47092237527
T250-75-274,63.5,31.8,25.4,242.0,75,1.361e-03,60266.47092237527
T250-75-275,63.5,31.8,25.4,242.0,76,1.398e-03,60266.47092237527
T250-75-276,63.5,31.8,25.4,242.0,77,1.435e-03,60266.47092237527
T250-75-277,63.5,31.8,25.4,242.0,78,1.472e-03,60266.47092237527
T250-75-278,63.5,31.8,25.4,242.0,79,1.510e-03,60266.47092237527
T250-75-279,63.5,31.8,25.4,242.0,80,1.549e-03,60266.47092237527
T250-75-280,63.5,31.8,25.4,242.0,81,1.588e-03,60266.47092237527
T250-75-281,63.5,31.8,25.4,242.0,82,1.627e-03,60266.47092237527
T250-75-282,63.5,31.8,25.4,242.0,83,1.667e-03,60266.47092237527
T250-75-283,63.5,31.8,25.4,242.0,84,1.708e-03,60266.47092237527
T250-75-284,63.5,31.8,25.4,242.0,85,1.748e-03,60266.47092237527
T250-75-285,63.5,31.8,25.4,242.0,86,1.790e-03,60266.47092237527
T250-75-286,63.5,31.8,25.4,242.0,87,1.832e-03,60266.47092237527
T250-75-287,63.5,31.8,25.4,242.0,88,1.874e-03,60266.47092237527
T250-75-288,63.5,31.8,25.4,242.0,89,1.917e-03,60266.47092237527
T250-75-289,63.5,31.8,25.4,242.0,90,1.960e-03,60266.47092237527
