Part_Number,OD(mm),ID(mm),Ht(mm),AL_Value(nH/T^2),N,L(uH),Vol(mm^3)
T130-75-271,33.0,19.8,11.1,81.0,72,4.199e-04,6076.041253972489
T130-75-272,33.0,19.8,11.1,81.0,73,4.316e-04,6076.041253972489
T130-75-273,33.0,19.8,11.1,81.0,74,4.436e-04,6076.041253972489
T130-75-274,33.0,19.8,11.1,81.0,75,4.556e-04,6076.041253972489
T130-75-275,33.0,19.8,11.1,81.0,76,4.679e-04,6076.041253972489
T130-75-276,33.0,19.8,11.1,81.0,77,4.802e-04,6076.041253972489
T130-75-277,33.0,19.8,11.1,81.0,78,4.928e-04,6076.041253972489
T130-75-278,33.0,19.8,11.1,81.0,79,5.055e-04,6076.041253972489
T130-75-279,33.0,19.8,11.1,81.0,80,5.184e-04,6076.041253972489
T130-75-280,33.0,19.8,11.1,81.0,81,5.314e-04,6076.041253972489
T130-75-281,33.0,19.8,11.1,81.0,82,5.446e-04,6076.041253972489
T130-75-282,33.0,19.8,11.1,81.0,83,5.580e-04,6076.041253972489
T130-75-283,33.0,19.8,11.1,81.0,84,5.715e-04,6076.041253972489
T130-75-284,33.0,19.8,11.1,81.0,85,5.852e-04,6076.041253972489
T130-75-285,33.0,19.8,11.1,81.0,86,5.991e-04,6076.041253972489
T130-75-286,33.0,19.8,11.1,81.0,87,6.131e-04,6076.041253972489
T130-75-287,33.0,19.8,11.1,81.0,88,6.273e-04,6076.041253972489
T130-75-288,33.0,19.8,11.1,81.0,89,6.416e-04,6076.041253972489
T130-75-289,33.0,19.8,11.1,81.0,90,6.561e-04,6076.041253972489
T130-75-290,33.0,19.8,11.1,81.0,91,6.708e-04,6076.041253972489
T130-75-291,33.0,19.8,11.1,81.0,92,6.856e-04,6076.041253972489
T130-75-292,33.0,19.8,11.1,81.0,93,7.006e-04,6076.041253972489
T130-75-293,33.0,19.8,11.1,81.0,94,7.157e-04,6076.041253972489
T130-75-294,33.0,19.8,11.1,81.0,95,7.310e-04,6076.041253972489
T130-75-295,33.0,19.8,11.1,81.0,96,7.465e-04,6076.041253972489
T130-75-296,33.0,19.8,11.1,81.0,97,7.621e-04,6076.041253972489
T130-75-297,33.0,19.8,11.1,81.0,98,7.779e-04,6076.041253972489
T130-75-298,33.0,19.8,11.1,81.0,99,7.939e-04,6076.041253972489
T130-75-299,33.0,19.8,11.1,81.0,100,8.100e-04,6076.041253972489
T130-75-300,33.0,19.8,11.1,81.0,101,8.263e-04,6076.041253972489
T130-75-301,33.0,19.8,11.1,81.0,102,8.427e-04,6076.041253972489
T130-75-302,33.0,19.8,11.1,81.0,103,8.593e-04,6076.041253972489
T130-75-303,33.0,19.8,11.1,81.0,104,8.761e-04,6076.041253972489
T130-75-304,33.0,19.8,11.1,81.0,105,8.930e-04,6076.041253972489
T130-75-305,33.0,19.8,11.1,81.0,106,9.101e-04,6076.041253972489
T130-75-306,33.0,19.8,11.1,81.0,107,9.274e-04,6076.041253972489
T130-75-307,33.0,19.8,11.1,81.0,108,9.448e-04,6076.041253972489
T130-75-308,33.0,19.8,11.1,81.0,109,9.624e-04,6076.041253972489
T130-75-309,33.0,19.8,11.1,81.0,110,9.801e-04,6076.041253972489
T130-75-310,33.0,19.8,11.1,81.0,111,9.980e-04,6076.041253972489
T130-75-311,33.0,19.8,11.1,81.0,112,1.016e-03,6076.041253972489
T130-75-312,33.0,19.8,11.1,81.0,113,1.034e-03,6076.041253972489
T130-75-313,33.0,19.8,11.1,81.0,114,1.053e-03,6076.041253972489
T130-75-314,33.0,19.8,11.1,81.0,115,1.071e-03,6076.041253972489
T130-75-315,33.0,19.8,11.1,81.0,116,1.090e-03,6076.041253972489
T130-75-316,33.0,19.8,11.1,81.0,117,1.109e-03,6076.041253972489
T130-75-317,33.0,19.8,11.1,81.0,118,1.128e-03,6076.041253972489
T130-75-318,33.0,19.8,11.1,81.0,119,1.147e-03,6076.041253972489
T130-75-319,33.0,19.8,11.1,81.0,120,1.166e-03,6076.041253972489
T130-75-320,33.0,19.8,11.1,81.0,121,1.186e-03,6076.041253972489
T130-75-321,33.0,19.8,11.1,81.0,122,1.206e-03,6076.041253972489
T130-75-322,33.0,19.8,11.1,81.0,123,1.225e-03,6076.041253972489
T130-75-323,33.0,19.8,11.1,81.0,124,1.245e-03,6076.041253972489
T130-75-324,33.0,19.8,11.1,81.0,125,1.266e-03,6076.041253972489
T130-75-325,33.0,19.8,11.1,81.0,126,1.286e-03,6076.041253972489
T130-75-326,33.0,19.8,11.1,81.0,127,1.306e-03,6076.041253972489
