Combination,Capacitance,Total Volume
"series:[4.7e-05, 0.0001, 0.00022, 0.00068]",2.6815e-05,2.708e-06
"series:[4.7e-05, 0.0001, 0.00022, 0.00082]",2.6997e-05,3.1e-06
"series:[4.7e-05, 0.0001, 0.00022, 0.001]",2.7158e-05,3.591e-06
"series:[4.7e-05, 0.0001, 0.00033, 0.00047]",2.7446e-05,2.318e-06
"series:[4.7e-05, 0.0001, 0.00033, 0.00068]",2.7951e-05,2.884e-06
"series:[4.7e-05, 0.0001, 0.00033, 0.00082]",2.8148e-05,3.276e-06
"series:[4.7e-05, 0.0001, 0.00033, 0.001]",2.8323e-05,3.767e-06
"series:[4.7e-05, 0.0001, 0.00047, 0.00068]",2.8674e-05,3.135e-06
"series:[4.7e-05, 0.0001, 0.00047, 0.00082]",2.8882e-05,3.528e-06
"series:[4.7e-05, 0.0001, 0.00047, 0.001]",2.9066e-05,4.019e-06
"series:[4.7e-05, 0.0001, 0.00068, 0.00082]",2.9441e-05,4.093e-06
"series:[4.7e-05, 0.0001, 0.00068, 0.001]",2.9632e-05,4.584e-06
"series:[4.7e-05, 0.0001, 0.00082, 0.001]",2.9854e-05,4.977e-06
"series:[4.7e-05, 0.00022, 0.00033, 0.00047]",3.2279e-05,2.553e-06
"series:[4.7e-05, 0.00022, 0.00033, 0.00068]",3.2978e-05,3.119e-06
"series:[4.7e-05, 0.00022, 0.00033, 0.00082]",3.3254e-05,3.512e-06
"series:[4.7e-05, 0.00022, 0.00033, 0.001]",3.3498e-05,4.002e-06
"series:[4.7e-05, 0.00022, 0.00047, 0.00068]",3.399e-05,3.37e-06
"series:[4.7e-05, 0.00022, 0.00047, 0.00082]",3.4283e-05,3.763e-06
"series:[4.7e-05, 0.00022, 0.00047, 0.001]",3.4543e-05,4.254e-06
"series:[4.7e-05, 0.00022, 0.00068, 0.00082]",3.5073e-05,4.328e-06
"series:[4.7e-05, 0.00022, 0.00068, 0.001]",3.5345e-05,4.819e-06
"series:[4.7e-05, 0.00022, 0.00082, 0.001]",3.5661e-05,5.212e-06
"series:[4.7e-05, 0.00033, 0.00047, 0.00068]",3.5836e-05,3.546e-06
"series:[4.7e-05, 0.00033, 0.00047, 0.00082]",3.6161e-05,3.939e-06
"series:[4.7e-05, 0.00033, 0.00047, 0.001]",3.645e-05,4.43e-06
"series:[4.7e-05, 0.00033, 0.00068, 0.00082]",3.7041e-05,4.504e-06
"series:[4.7e-05, 0.00033, 0.00068, 0.001]",3.7345e-05,4.995e-06
"series:[4.7e-05, 0.00033, 0.00082, 0.001]",3.7698e-05,5.388e-06
"series:[4.7e-05, 0.00047, 0.00068, 0.00082]",3.8322e-05,4.756e-06
"series:[4.7e-05, 0.00047, 0.00068, 0.001]",3.8648e-05,5.246e-06
"series:[4.7e-05, 0.00047, 0.00082, 0.001]",3.9026e-05,5.639e-06
"series:[4.7e-05, 0.00068, 0.00082, 0.001]",4.0053e-05,6.205e-06
